exact_class_total,exact_class_total_dp,exact_class_total_dp_stderr,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_dp_stderr,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_dp_stderr,exact_class_total_norm_stderr,exact_class_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_dp_stderr,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_dp_stderr,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_dp_stderr,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_dp_stderr,exact_x_class_norm_stderr,exact_x_class_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_dp_stderr,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_dp_stderr,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_dp_stderr,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_dp_stderr,exact_z_class_norm_stderr,exact_z_class_stderr,p,p_high,p_low,runs
0.0,0.034,0.004465780688732709,0.0,0.0085,0.0011164451721831772,0.0,0.0,0.0008500000000000001,0.00011164451721831773,0.0,0.0,0.0,0.0,0.0008,0.000141311706698074,0.0,0.016,0.00282623413396148,0.0,0.008,0.00141311706698074,0.0,0.0,0.0004,7.0655853349037e-05,0.0,0.0,0.0,0.0,0.0009,0.00014986868595924754,0.0,0.018,0.002997373719184951,0.0,0.009,0.0014986868595924755,0.0,0.0,0.00045,7.493434297962377e-05,0.0,0.0,0.0,0.1,0.0,20000
0.0034,0.3255,0.010906806838931873,0.00085,0.081375,0.0027267017097329684,0.00011164451721831774,8.499999999999999e-05,0.0081375,0.00027267017097329686,1.1164451721831775e-05,0.00044657806887327096,0.0016,8e-05,0.0081625,0.0003263705801313574,1.41311706698074e-05,0.16325,0.006527411602627147,0.0008,0.081625,0.0032637058013135736,0.000141311706698074,4e-05,0.00408125,0.0001631852900656787,7.0655853349037e-06,0.000282623413396148,0.0018,8.999999999999999e-05,0.0081125,0.0003249936895270608,1.498686859592475e-05,0.16225,0.0064998737905412165,0.0009,0.081125,0.0032499368952706082,0.0001498686859592475,4.4999999999999996e-05,0.00405625,0.0001624968447635304,7.493434297962375e-06,0.000299737371918495,0.1,0.2,0.0,20000
0.0651,1.1013333333333335,0.02382910153977482,0.016275,0.2753333333333334,0.005957275384943705,0.0005453403419465936,0.0016275,0.027533333333333337,0.0005957275384943705,5.453403419465936e-05,0.0021813613677863744,0.03265,0.0016324999999999998,0.027800000000000002,0.0007025702117705715,6.527411602627148e-05,0.556,0.01405140423541143,0.016325,0.278,0.007025702117705715,0.0006527411602627148,0.0008162499999999999,0.013900000000000001,0.00035128510588528574,3.263705801313574e-05,0.0013054823205254295,0.03245,0.0016225,0.02726666666666667,0.0006864279546643078,6.499873790541217e-05,0.5453333333333334,0.013728559093286156,0.016225,0.2726666666666667,0.006864279546643078,0.0006499873790541216,0.00081125,0.013633333333333336,0.0003432139773321539,3.249936895270608e-05,0.0012999747581082432,0.2,0.25,0.1,20000
0.1686,2.7840000000000007,0.045443046261476314,0.04215,0.6960000000000002,0.011360761565369078,0.0009032702640176376,0.004215,0.06960000000000002,0.0011360761565369078,9.032702640176375e-05,0.0036130810560705503,0.085,0.00425,0.06992500000000001,0.0013271163402803208,0.00010652437454460181,1.3985000000000003,0.026542326805606416,0.0425,0.6992500000000001,0.013271163402803208,0.001065243745446018,0.002125,0.03496250000000001,0.0006635581701401604,5.3262187272300904e-05,0.002130487490892036,0.0836,0.00418,0.06927500000000002,0.0013264658662531493,0.00010393228610977824,1.3855000000000004,0.026529317325062984,0.0418,0.6927500000000002,0.013264658662531492,0.0010393228610977823,0.00209,0.03463750000000001,0.0006632329331265746,5.196614305488912e-05,0.0020786457221955647,0.25,0.3,0.2,20000
0.3435,4.5165000000000015,0.05706114427707626,0.085875,1.1291250000000004,0.014265286069269065,0.0012998014051902877,0.008587500000000001,0.11291250000000004,0.0014265286069269066,0.00012998014051902878,0.005199205620761151,0.1725,0.008624999999999999,0.11315000000000004,0.0016650803282799848,0.000149353888731442,2.263000000000001,0.033301606565599697,0.08625,1.1315000000000004,0.016650803282799848,0.00149353888731442,0.0043124999999999995,0.05657500000000002,0.0008325401641399924,7.4676944365721e-05,0.00298707777462884,0.171,0.00855,0.11267500000000004,0.0016491598482743445,0.00014839466314124115,2.2535000000000007,0.03298319696548689,0.0855,1.1267500000000004,0.016491598482743446,0.0014839466314124116,0.004275,0.05633750000000002,0.0008245799241371723,7.419733157062058e-05,0.002967893262824823,0.3,0.35,0.25,20000
0.62025,5.736666666666667,0.08193413068556761,0.1550625,1.4341666666666668,0.020483532671391903,0.001728156280807394,0.01550625,0.1434166666666667,0.0020483532671391903,0.0001728156280807394,0.006912625123229576,0.3113,0.015565,0.1434166666666667,0.0024194669085485826,0.00019650310283420765,2.8683333333333336,0.04838933817097165,0.15565,1.4341666666666668,0.024194669085485825,0.0019650310283420764,0.0077825,0.07170833333333335,0.0012097334542742913,9.825155141710382e-05,0.003930062056684153,0.30895,0.0154475,0.1434166666666667,0.0024036279689330707,0.0001939442391665586,2.8683333333333336,0.048072559378661416,0.154475,1.4341666666666668,0.024036279689330708,0.0019394423916655862,0.00772375,0.07170833333333335,0.0012018139844665353,9.69721195832793e-05,0.0038788847833311725,0.35,0.36,0.3,20000
0.6877,6.972499999999994,0.15439933337034592,0.171925,1.7431249999999985,0.03859983334258648,0.0018122165778946672,0.0171925,0.17431249999999984,0.003859983334258648,0.0001812216577894667,0.007248866311578669,0.3446,0.017230000000000002,0.17174999999999985,0.004578607327261513,0.00020502062499376406,3.434999999999997,0.09157214654523027,0.1723,1.7174999999999985,0.045786073272615135,0.0020502062499376406,0.008615000000000001,0.08587499999999992,0.0022893036636307566,0.00010251031249688203,0.004100412499875281,0.3431,0.017155,0.17687499999999984,0.004678673018902993,0.00020303906026427438,3.537499999999997,0.09357346037805987,0.17155,1.7687499999999985,0.046786730189029936,0.002030390602642744,0.0085775,0.08843749999999992,0.0023393365094514966,0.00010151953013213719,0.004060781205285488,0.36,0.37,0.35,20000
0.7597,7.489999999999994,0.16041752301131074,0.189925,1.8724999999999985,0.040104380752827684,0.0018891243099073483,0.018992500000000002,0.18724999999999986,0.004010438075282769,0.00018891243099073484,0.007556497239629393,0.38,0.019,0.18449999999999986,0.00474200504329039,0.00021284328768663503,3.6899999999999973,0.0948401008658078,0.19,1.8449999999999986,0.0474200504329039,0.0021284328768663503,0.0095,0.09224999999999993,0.002371002521645195,0.00010642164384331752,0.004256865753732701,0.3797,0.018985,0.18999999999999986,0.0048259625460341845,0.00021182122689099902,3.799999999999997,0.0965192509206837,0.18985,1.8999999999999986,0.04825962546034185,0.00211821226890999,0.0094925,0.09499999999999993,0.0024129812730170922,0.00010591061344549951,0.00423642453781998,0.37,0.38,0.36,20000
0.8375,7.934999999999994,0.16516099012064814,0.209375,1.9837499999999986,0.041290247530162034,0.0019682286871596623,0.0209375,0.19837499999999986,0.0041290247530162034,0.00019682286871596622,0.00787291474863865,0.4184,0.02092,0.19924999999999987,0.0049324120174023805,0.00022129195309912494,3.984999999999997,0.0986482403480476,0.2092,1.9924999999999986,0.0493241201740238,0.0022129195309912495,0.01046,0.09962499999999994,0.0024662060087011902,0.00011064597654956247,0.004425839061982499,0.4191,0.020954999999999998,0.19749999999999984,0.004929594561941907,0.0002201631720817927,3.949999999999997,0.09859189123883813,0.20955,1.9749999999999985,0.049295945619419065,0.002201631720817927,0.010477499999999999,0.09874999999999992,0.0024647972809709534,0.00011008158604089634,0.004403263441635854,0.38,0.39,0.37,20000
0.9184,8.354999999999993,0.16992246005787923,0.2296,2.0887499999999983,0.04248061501446981,0.0020449697051679646,0.02296,0.20887499999999984,0.00424806150144698,0.00020449697051679646,0.008179878820671858,0.4597,0.022985,0.21137499999999987,0.005086914517044211,0.00022931881324022527,4.227499999999997,0.10173829034088422,0.22985,2.1137499999999987,0.05086914517044211,0.0022931881324022526,0.0114925,0.10568749999999993,0.0025434572585221055,0.00011465940662011264,0.004586376264804505,0.4587,0.022935,0.20637499999999984,0.005023057288542123,0.00022809403783199752,4.127499999999997,0.10046114577084247,0.22935,2.0637499999999984,0.05023057288542124,0.002280940378319975,0.0114675,0.10318749999999992,0.0025115286442710617,0.00011404701891599876,0.00456188075663995,0.39,0.4,0.38,20000
1.0046,8.790000000000017,0.17331559916766248,0.25115,2.1975000000000042,0.04332889979191562,0.002116343029943638,0.025115,0.21975000000000042,0.004332889979191562,0.0002116343029943638,0.008465372119774552,0.50295,0.0251475,0.22087500000000043,0.005206624834368076,0.0002370162885194838,4.417500000000008,0.10413249668736152,0.251475,2.208750000000004,0.05206624834368076,0.002370162885194838,0.01257375,0.11043750000000022,0.002603312417184038,0.0001185081442597419,0.004740325770389676,0.50165,0.0250825,0.21862500000000037,0.005141945395360839,0.0002355895473259382,4.372500000000008,0.10283890790721678,0.250825,2.186250000000004,0.05141945395360839,0.002355895473259382,0.01254125,0.10931250000000019,0.0025709726976804194,0.0001177947736629691,0.004711790946518764,0.4,0.41,0.39,20000
