p,runs,total_ml_logical_failure,total_ml_logical_failure_ci_high,total_ml_logical_failure_ci_low,total_ml_logical_failure_stderr,total_uncorrectable_rate,total_uncorrectable_rate_ci_high,total_uncorrectable_rate_ci_low,total_uncorrectable_rate_failures,x_ml_logical_failure,x_ml_logical_failure_ci_high,x_ml_logical_failure_ci_low,x_ml_logical_failure_stderr,x_uncorrectable_rate,x_uncorrectable_rate_ci_high,x_uncorrectable_rate_ci_low,x_uncorrectable_rate_failures,z_ml_logical_failure,z_ml_logical_failure_ci_high,z_ml_logical_failure_ci_low,z_ml_logical_failure_stderr,z_uncorrectable_rate,z_uncorrectable_rate_ci_high,z_uncorrectable_rate_ci_low,z_uncorrectable_rate_failures
0.0,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.025,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.05,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.07500000000000001,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.1,20000,0.0002,0.0003385661257825662,6.14338742174338e-05,7.069830204817952e-05,0.0004,0.0007891790235140093,0.00020270340374573274,8,0.0001,0.00019799084871888087,2.009151281119129e-06,4.999624967184101e-05,0.0002,0.0005141804856319553,7.777875605022839e-05,4,0.0001,0.00019799084871888087,2.009151281119129e-06,4.999624967184101e-05,0.0002,0.0005141804856319553,7.777875605022839e-05,4
0.125,20000,0.0008125,0.0010948251730544707,0.0005301748269455292,0.0001440461025209727,0.0016,0.002257784278924517,0.0011336372618005737,32,0.000325,0.0005016157548747746,0.00014838424512522537,9.011173484201606e-05,0.00065,0.0011118683512116193,0.0003799180580200702,13,0.0005,0.000719026518152941,0.000280973481847059,0.00011175027698498251,0.001,0.0015441859375651431,0.0006474660464272732,20
0.15000000000000002,20000,0.002325,0.002804020592444799,0.001845979407555201,0.0002444027524093566,0.00455,0.005582609388572922,0.003707679139421153,91,0.001075,0.0013959710152541861,0.0007540289847458139,0.00016376373126545418,0.00215,0.002894550586422709,0.0015966597146406661,43,0.0013,0.0016528867167434234,0.0009471132832565766,0.0001800475516524532,0.0026,0.0034076419053493887,0.001983395563263493,52
0.17500000000000002,20000,0.0051625,0.005882642898735052,0.004442357101264949,0.0003674265978433517,0.00995,0.011422730817160026,0.008665483721428117,199,0.0025375,0.0030353656939942366,0.002039634306005763,0.00025401777681699153,0.005,0.006077104370877246,0.004113011324666333,100,0.0027875,0.003305209677127611,0.0022697903228723892,0.0002641424440506248,0.00555,0.006678828838738108,0.004611075617143757,111
0.2,20000,0.0116625,0.012749890665815267,0.010575109334184731,0.0005548013506332093,0.02215,0.024283283996615876,0.020200244862203308,443,0.006075,0.006848285905004995,0.005301714094995004,0.0003945408747837082,0.01185,0.013446223255726017,0.010441261545848929,237,0.00606875,0.006834341650333407,0.005303158349666594,0.00039061516250925803,0.012,0.013605521029920676,0.01058190616083744,240
0.225,20000,0.022109375,0.02362417714577155,0.02059457285422845,0.0007728724393509863,0.0408,0.043631023897034965,0.03814534201689153,816,0.01255,0.013662290963742302,0.011437709036257699,0.0005675058177170143,0.02425,0.026474971244054592,0.022207751063328954,485,0.01101875,0.012064220439430028,0.009973279560569974,0.000533413087014131,0.02125,0.023342562756738346,0.01934131176698183,425
0.25,20000,0.0392484375,0.041276378201943624,0.03722049679805637,0.0010346826359768678,0.07025,0.07387507372482617,0.06678998126539577,1405,0.0234375,0.02496099226586227,0.02191400773413773,0.0007773062555635628,0.0445,0.04744631423824869,0.041728630608862616,890,0.01936875,0.020750503221909116,0.017986996778090885,0.0007049890879670285,0.0371,0.03980960320076017,0.0345681837799815,742
