p,posterior_x_error,posterior_x_class,posterior_x_saved_by_stabilizers,posterior_x_error_stderr,posterior_x_class_stderr,posterior_x_class_component_norm,posterior_x_class_component_norm_dp,scaled_posterior_x_class_component_norm_dp
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012986862055518,0.05964265138042002,0.0008562643700393835,0.058786387010380636,0.04527547092578732,0.06404459006756649,1.007369847105157e-05,0.002493235764003922,0.01582128902082268
0.031124460304789,0.33840555125199145,0.00839822234818044,0.330007328903811,0.05256073339172074,0.0744235067547862,9.880261586094635e-05,0.013007814608188567,0.08254349525089955
0.041692690273657,0.9223614495432741,0.024331057063378125,0.898030392479896,0.05308723203296208,0.07527785765018628,0.00028624773015738974,0.027159895925747784,0.17234814670179907
0.053239040776797,1.5967730868562313,0.061091157880099445,1.5356819289761319,0.051905670476645835,0.07385358205834958,0.0007187195044717581,0.04453733349762486,0.2826198932551418
0.065786706354581,2.4444042154326056,0.11680093690174331,2.3276032785308622,0.0495848982990475,0.07082301211705101,0.0013741286694322742,0.07987927292897937,0.5068887114602498
0.071095875529861,2.9402840633616734,0.15812762756357657,2.782156435798097,0.048343131620784095,0.06924124575199656,0.0018603250301597242,0.09687865000762665,0.614761405177475
0.076576534403673,3.2488499502365116,0.20580883926702853,3.043041110969483,0.046814782500224854,0.06720088089735557,0.0024212804619650414,0.09436468695507255,0.5988085873106824
0.082233332365895,3.9018045759010214,0.24721814377161877,3.6545864321294026,0.04500223787546977,0.06472748455716856,0.0029084487502543384,0.09316751157651079,0.5912116893573092
0.088071569497931,4.519295525731458,0.29706160094430345,4.2222339247871545,0.04277065722746721,0.061747373762390666,0.003494842364050629,0.11202005172294091,0.7108439723285495
0.094097243346144,5.108442573475813,0.3605577039191985,4.747884869556614,0.04158193772309396,0.06014551516332182,0.004241855340225865,0.10850721640192212,0.6885526255980101
0.100317108961426,5.766614940491465,0.4094848510643345,5.35713008942713,0.03880524697013636,0.05625158983842259,0.004817468836050994,0.09859945229486478,0.6256810745994977
0.10673875382071,6.6823269325731545,0.46671668832145485,6.2156102442517,0.0367159845372066,0.0532998358396292,0.005490784568487704,0.15758739763381668,1.0
0.11002786443836,7.007677413267999,0.5183257131067762,6.489351700161222,0.035576113962116136,0.05176086137334454,0.006097949565962073,0.12183680429137655,0.7731379927631445
0.113370689941424,7.538239146878752,0.5348200796745388,7.003419067204213,0.034937860499362136,0.0508332230150152,0.006292000937347515,0.07271945204783598,0.4614547428266631
0.120222466333141,8.50589715987153,0.5946834211353149,7.911213738736215,0.03234075771269864,0.04715731012084215,0.006996275542768411,0.10803170321730682,0.6855351686709007
0.127304805975883,9.424809837108256,0.6629818367812064,8.76182800032705,0.029930347479157026,0.04367131666260924,0.007799786315073016,0.10386864018381092,0.6591176816382793
0.134629772869357,10.475066938598957,0.7214810621547798,9.753585876444177,0.027707443452426983,0.04040996117258555,0.008488012495938587,0.09040427130493589,0.5736770367577669
0.142210976497938,11.562748699999446,0.77736883306914,10.785379866930306,0.025512134925929332,0.03722784562367277,0.009145515683166353,0.07724108163408216,0.49014758028789857
0.150063823498572,12.792170146417057,0.8223672449195263,11.96980290149753,0.023345779107968236,0.03399387138958669,0.009674908763759133,0.05789361255543324,0.3673746341694131
0.158205829693504,14.00842329124093,0.8556022003756496,13.152821090865281,0.02118140173035165,0.030801532510157548,0.010065908239713525,0.051598766327218826,0.32742952229668804
0.166657010396898,15.260247211661977,0.8953347589523233,14.364912452709653,0.019199111440274953,0.02781795389858384,0.01053335010532145,0.04869480090485756,0.30900187220559916
0.189297705370626,18.7060264635061,0.9549361386783772,17.75109032482772,0.014477936227341927,0.020837327173052936,0.011234542807980908,0.02332427838752546,0.14800852566728534
0.214501744859829,22.398074102109113,0.9866694060723091,21.411404696036804,0.010350272076113406,0.014768496371658127,0.011607875365556578,0.009980885746968093,0.06333555789886522
0.243003853808954,26.298295579678253,0.9976129723849709,25.300682607293282,0.006957641053960047,0.00987242324590869,0.01173662320452907,0.003354224704515525,0.021284853705812717
0.316019346323608,34.52963842646366,0.9999411705363741,33.52969725592729,0.002139747692715761,0.0030265949343233137,0.011764013771016166,0.0002696227380234277,0.0017109409893927288
0.5,43.0,1.0,42.0,0.0,0.0,0.011764705882352941,0.0,0.0
