p,channel_entropy,normalized_channel_entropy,posterior_pauli_error,posterior_logical_class,posterior_saved_by_stabilizers,posterior_pauli_error_stderr,posterior_logical_class_stderr,posterior_logical_class_component_norm,posterior_logical_class_component_norm_stderr,posterior_logical_class_component_norm_dp,posterior_logical_class_component_norm_dp_stderr,scaled_posterior_logical_class_component_norm_dp,scaled_posterior_logical_class_component_norm_dp_stderr
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.023800394554332,0.19999999999999693,0.09999999999999847,0.05207552827674533,0.0006978601653652917,0.05137766811138004,0.15303280413786227,0.000507200311413854,1.7020979643055895e-05,1.2370739302776926e-05,0.009433086528372079,0.002026186448365511,0.03449492538710568,0.007409361733989608
0.055979636094225,0.4000000000000006,0.2000000000000003,0.5761547174219928,0.028694622482318223,0.5474600949396745,0.17655629356318273,0.00624975374203052,0.0006998688410321518,0.00015243301809830535,0.05527005117914185,0.008725126780746887,0.20211160852088908,0.03190605708848957
0.074389600469029,0.5000000000000018,0.2500000000000009,0.8278975782159961,0.08511674279406187,0.7427808354219342,0.17825815351699145,0.011841169398631637,0.0020760181169283383,0.00028880900972272285,0.07831603125073823,0.008888178083260577,0.28638618404305743,0.03250230334336738
0.094274417016264,0.5999999999999976,0.2999999999999988,1.2609642871540387,0.15210604084451196,1.1088582463095267,0.17358746055607302,0.014716813329181188,0.003709903435231999,0.00035894666656539486,0.10957373360585648,0.008854393110094026,0.40068939829526873,0.03237875840130835
0.115643981025764,0.699999999999999,0.3499999999999995,1.9269089779233752,0.2739142621945328,1.6529947157288425,0.16337472385669233,0.017775548302913717,0.006680835663281288,0.0004335499586076516,0.19831372789580382,0.02039943799203773,0.7251939464807485,0.0745966963578429
0.12461665208165,0.7399999999999994,0.3699999999999997,2.4282778041113247,0.35602768030428694,2.072250123807038,0.15778515601630688,0.020961833983921287,0.008683601958641145,0.0005112642435102753,0.19428532782982672,0.017629869973942728,0.7104628868972982,0.06446893575145435
0.133838245038192,0.7799999999999996,0.3899999999999998,2.99789272310343,0.41824574892382793,2.5796469741796018,0.15287210470639384,0.021317802345885928,0.010201115827410437,0.0005199463986801445,0.20322371628823396,0.01747940383927304,0.7431487996180558,0.0639187109577873
0.143314042136076,0.8199999999999984,0.4099999999999992,3.5675236822021255,0.5126345808904444,3.054889101311681,0.14728265492903225,0.023206839743606242,0.012503282460742548,0.0005660204815513718,0.2530834733206885,0.017368214880775196,0.9254760361467077,0.06351211500261215
0.153050221523711,0.8600000000000012,0.4300000000000006,4.104098380039261,0.6178166185631369,3.486281761476124,0.1409503822213767,0.024359278485955174,0.015068698013735045,0.0005941287435598823,0.2734630216622587,0.019026333964204414,1.0,0.06957552742799332
0.163053907776203,0.9000000000000012,0.4500000000000006,4.802501274615288,0.7341793378640669,4.068321936751222,0.13430060176705438,0.025647195151675566,0.017906813118635775,0.0006255413451628186,0.26955684705337457,0.0190889941198571,0.9857158946568342,0.06980466318196768
0.173333240535912,0.9399999999999987,0.46999999999999936,5.497688930217969,0.8416568704306696,4.656032059787299,0.12591568123543354,0.02633113748822401,0.02052821635196755,0.0006422228655664393,0.2542986898509118,0.01878936718656742,0.9299198418314273,0.06870898694951627
0.183897462998134,0.9799999999999991,0.48999999999999955,6.298424983823054,0.9514823682497454,5.346942615573308,0.1182288261509363,0.027161054719540254,0.023206887030481595,0.0006624647492570793,0.25385651693314293,0.023281425278664006,0.9283029032227587,0.08513555191903714
0.189289624915232,1.0000000000000009,0.5000000000000004,6.718136734069361,1.0076380123914113,5.71049872167795,0.11463626854073046,0.026800486700677896,0.024576536887595396,0.0006536704073336072,0.2676172114197789,0.023428417713201782,0.9786230320759796,0.08567307408069642
0.194757032903352,1.0200000000000014,0.5100000000000007,7.158288344236695,1.0707214486006327,6.087566895636062,0.10967481766023733,0.026680596191162486,0.02611515728294226,0.0006507462485649387,0.2691775178695581,0.023783797019459457,0.9843287631115499,0.08697262567673118
0.205923759788232,1.0599999999999996,0.5299999999999998,8.057863653507752,1.182515714474637,6.875347939033115,0.10119731011744543,0.026337582882703926,0.02884184669450334,0.0006423800703098518,0.2430771288135925,0.017142533165782754,0.8888848200975619,0.06268684175864438
0.217410973588471,1.0999999999999985,0.5499999999999993,9.017973036215153,1.2964649031695559,7.721508133045598,0.0935329329156299,0.025654976263955756,0.03162109519925746,0.0006257311283891648,0.23105994208519282,0.016051324313270277,0.8449403531076463,0.05869650754131763
0.229233731402812,1.1399999999999986,0.5699999999999993,10.091765077427041,1.4030379323204003,8.688727145106641,0.0851163855658624,0.024270285980727876,0.0342204373736683,0.0005919581946518994,0.20037335147169066,0.015516454553091839,0.7327255811543044,0.056740594976148105
0.241409071490507,1.180000000000001,0.5900000000000005,11.19704375044627,1.4930448840359727,9.703998866410297,0.0776609213567523,0.022707749199351587,0.03641572887892616,0.0005538475414475996,0.18921643226937965,0.014724710123155441,0.6919269417825418,0.053845342721844255
0.253956326629331,1.219999999999999,0.6099999999999995,12.34575631588639,1.5951085845543145,10.750647731332077,0.06975128576432603,0.021321926182969252,0.03890508742815401,0.0005200469800724208,0.17450315276759615,0.013086001233515115,0.6381233985745859,0.0478529095230909
0.266897513169426,1.259999999999999,0.6299999999999994,13.564110968496706,1.6746212363385735,11.889489732158133,0.06281804350612386,0.019571424174804983,0.04084442039850179,0.00047735180914158494,0.14013271839300656,0.011867955245796515,0.5124375410657089,0.04339875707383233
0.280257818025871,1.3,0.65,14.859534326150737,1.7458826354757193,13.113651690675017,0.05705583895932734,0.017594008832660157,0.04258250330428584,0.00042912216665024774,0.12056144141601892,0.011470044608290682,0.440869265186862,0.04194367683999628
0.315693858853342,1.400000000000001,0.7000000000000005,18.314005686116808,1.8843133676148018,16.429692318502006,0.040601122355122206,0.012769688944835293,0.04595886262475127,0.00031145582792281205,0.06821428613310465,0.0050984385595173294,0.24944610689394378,0.01864397799938805
0.354544066417569,1.4999999999999996,0.7499999999999998,21.992361057012104,1.945702852748888,20.046658204263217,0.027914983299535855,0.008188747306682287,0.04745616714021678,0.00019972554406542164,0.02990763428700064,0.00346288354616716,0.10936628325543096,0.012663077900323958
0.397732579472037,1.5999999999999992,0.7999999999999996,25.812848362223356,1.9816677984996895,23.831180563723667,0.0179721602590802,0.004348187861062353,0.04833336093901682,0.00010605336246493545,0.015620461569080936,0.002504131898673629,0.05712092799286417,0.00915711339490121
0.504785494188147,1.7999999999999998,0.8999999999999999,33.819261514393965,1.9991995469359354,31.82006196745803,0.0050659000219467265,0.0005758192494826776,0.04876096455941306,1.404437193860189e-05,0.00280465473309716,0.0006645342563200837,0.01025606576000267,0.0024300698949374535
0.75,2.0,1.0,42.0,2.0,40.0,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0
