p,posterior_x_error,posterior_x_class,posterior_x_saved_by_stabilizers,posterior_x_error_stderr,posterior_x_class_stderr,posterior_x_class_component_norm,posterior_x_class_component_norm_stderr,posterior_x_class_component_norm_dp,posterior_x_class_component_norm_dp_stderr,scaled_posterior_x_class_component_norm_dp,scaled_posterior_x_class_component_norm_dp_stderr
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012986862055518,0.18105449333465273,2.6167562042633818e-08,0.1810544671670907,0.03638743435659437,1.3946536215496021e-08,1.1840525811146525e-10,6.310649871265168e-11,2.2683617644319847e-05,6.340136433941073e-06,0.0003928192626418633,0.00010979411476957215
0.031124460304789,1.1227635551993913,0.00021788754116876095,1.1225456676582226,0.04262347460053404,6.090711604027846e-05,9.859164758767463e-07,2.755978101370066e-07,0.0010244933173918322,9.491780377487438e-05,0.017741469452962247,0.0016437211328047495
0.041692690273657,2.061913378512024,0.003930911014683166,2.057982467497341,0.04324665520334489,0.0003584505971155045,1.778692766824962e-05,1.621948403237577e-06,0.0035585212535912745,0.00016255161477657718,0.06162401945093434,0.0028149568758830076
0.053239040776797,3.4515733313311614,0.018500066593902218,3.433073264737259,0.042646571634342476,0.0008380756707500548,8.37107085696933e-05,3.7921976052038677e-06,0.009862393127471456,0.0002488545098969128,0.17079012955359135,0.0043094909557905604
0.065786706354581,5.477866433976985,0.058363654145152995,5.419502779831832,0.040837839127820304,0.0014063067420445985,0.00026408893278349774,6.363378923278726e-06,0.021178373834501753,0.0005742757634078423,0.36675248737081056,0.009944912027356907
0.071095875529861,6.493720283523842,0.08659016916063286,6.407130114363209,0.039808378785066746,0.001633530804200183,0.0003918107201838591,7.391542100453317e-06,0.02773857456447464,0.0005910973359677605,0.48035752400727744,0.010236216431842771
0.076576534403673,7.634536556448225,0.12479130506605608,7.509745251382169,0.03859706367229424,0.0018823997078127872,0.0005646665387604347,8.517645736709445e-06,0.03521615511990966,0.000646439323574408,0.6098491124385721,0.011194590845732705
0.082233332365895,8.94027725025542,0.17356129778506957,8.766715952470351,0.03711934309254951,0.0021490114169997734,0.0007853452388464687,9.724033561084947e-06,0.04269580489304211,0.0006937551876347296,0.7393765341563775,0.01201397438159002
0.088071569497931,10.424141669582028,0.23355607211930382,10.190585597462723,0.03554000024077666,0.0023856474254102646,0.0010568148059697006,1.0794784730363188e-05,0.05063883418287353,0.0007224317953664095,0.8769284431022426,0.012510576117735456
0.094097243346144,12.06992716020018,0.3066810053332542,11.763246154866925,0.03379964109719004,0.0026056632011970927,0.0013876968567115575,1.1790331227136165e-05,0.05527862551504377,0.000722933539760141,0.9572771528404186,0.012519264981472747
0.100317108961426,13.872676699359062,0.3831866105192231,13.489490088839839,0.031956495817744124,0.002719449593786463,0.001733876065697842,1.2305201781839198e-05,0.057374527137804554,0.0007256287721262252,0.9935725331863723,0.01256593915872678
0.10673875382071,15.880591729109113,0.46712811950079847,15.413463609608314,0.03003080131354525,0.002794988640742588,0.0021137018981936583,1.2647007424174607e-05,0.05774568561572984,0.0010331737387918672,1.0,0.01789179101045139
0.11002786443836,16.946951122026533,0.50858108016249,16.438370041864044,0.029037884069205915,0.0027930807506869352,0.002301271855938869,1.2638374437497445e-05,0.056303733846261514,0.001019632565058794,0.9750292726791084,0.0176572942928406
0.113370689941424,18.064818809873316,0.5496328054115731,17.515186004461743,0.02804532284996116,0.0027729689222789674,0.0024870262688306477,1.2547370689045101e-05,0.05564269905946335,0.0010146112090195802,0.9635819276567107,0.017570337908382225
0.120222466333141,20.440050262046512,0.6341209310503586,19.805929330996154,0.026029894409445913,0.002692942301324364,0.002869325479865876,1.2185259282010697e-05,0.05258017780863946,0.0006529125886291635,0.9105472945379092,0.011306690390239493
0.127304805975883,23.011244517355024,0.7112170922853251,22.3000274250697,0.024022955293305143,0.0025389821784192823,0.0032181768881688923,1.1488607142168698e-05,0.046262363531473255,0.0006037158471753988,0.8011397395006677,0.010454735115500085
0.134629772869357,25.757737962910824,0.7810943814389346,24.97664358147189,0.022030608939172112,0.0023231783593136964,0.003534363716918256,1.0512119272912653e-05,0.039497426587241265,0.0005451117275976127,0.6839892221572693,0.009439869347557372
0.142210976497938,28.685808558195163,0.8409093152325946,27.84489924296257,0.020104522612533426,0.002070744694367852,0.003805019525939342,9.369885494877158e-06,0.031582473623520436,0.00048429263599580137,0.5469235196839956,0.008386646220092343
0.150063823498572,31.772818030713395,0.8883164925043546,30.88450153820904,0.018260334703671114,0.001778431213803547,0.0040195316402911975,8.047200062459488e-06,0.024360375256893843,0.0004222779462173245,0.42185619578578726,0.0073127185471029655
0.158205829693504,35.024279484594445,0.9266351230752471,34.097644361519194,0.0164923118095058,0.0014941029934419797,0.00419291910893777,6.76064702914923e-06,0.018006145919744324,0.0003545869880907856,0.31181802982766,0.006140493169487915
0.166657010396898,38.41479663188478,0.9538886966968528,37.46090793518793,0.01482208107637336,0.00120907704903439,0.004316238446592094,5.470936873458778e-06,0.01254050499691253,0.0003324541631352857,0.21716782584180652,0.005757212155166199
