p,channel_entropy,normalized_channel_entropy,posterior_pauli_error,posterior_logical_class,posterior_saved_by_stabilizers,posterior_pauli_error_stderr,posterior_logical_class_stderr,posterior_logical_class_component_norm,posterior_logical_class_component_norm_stderr,posterior_logical_class_component_norm_dp,posterior_logical_class_component_norm_dp_stderr,scaled_posterior_logical_class_component_norm_dp,scaled_posterior_logical_class_component_norm_dp_stderr
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02380039455433245,0.2,0.1,0.033841902775812116,0.0023121673665607314,0.031529735409251386,0.04765635298520335,0.0006540269612846928,5.639432601367638e-05,1.5951877104504705e-05,0.011288094835300596,0.0008178220046478134,0.04293988245227925,0.003110992710359288
0.05597963609422489,0.4,0.2,0.40717242429096245,0.03311433407364184,0.3740580902173206,0.05587844987426006,0.0023599027757996295,0.0008076666847229716,5.755860428779584e-05,0.0503854555419811,0.0015082297919322655,0.19166613762946794,0.0057373020798927804
0.09427441701626446,0.5999999999999999,0.29999999999999993,1.2273506896699011,0.1627454564860678,1.0646052331838334,0.055308011512583306,0.004699477272739684,0.003969401377708971,0.00011462139689608985,0.12784673674891522,0.0031489986320323506,0.4863286434074081,0.011978782343234672
0.1156439810257642,0.7,0.35,1.9797659178595453,0.29689862384713994,1.6828672940124054,0.052665978720884396,0.006011743905899895,0.007241429849930242,0.00014662790014389988,0.1892028141040159,0.006103316930451944,0.7197269969649877,0.02321700121999669
0.12461665208165013,0.74,0.37,2.3974563325995533,0.37207658767609597,2.025379744923457,0.05097969784645817,0.006606898740457225,0.00907503872380722,0.0001611438717184689,0.20931999287073555,0.00570479823624086,0.7962526909920281,0.021701037176981623
0.1385440034395647,0.7999999999999998,0.3999999999999999,3.134750142373104,0.49600357448459254,2.6387465678885116,0.048210055657281085,0.00730223206258895,0.012097648158160794,0.00017810322103875488,0.22852230067555573,0.004819144355074977,0.8692982183358375,0.01833201219043214
0.15305022152371073,0.86,0.43,4.0110762116138154,0.6390394747578149,3.3720367368560007,0.0450191986437257,0.007849933303863386,0.015586328652629631,0.00019146178789910696,0.2510502775538126,0.004853434385755168,0.9549945819077382,0.018462451375093118
0.16815856769037862,0.9199999999999999,0.45999999999999996,5.022350356731231,0.8013600535686857,4.220990303162545,0.04152687834085241,0.008219999669170861,0.019545367160211845,0.0002004877968090454,0.26288136321391875,0.0048349246675796825,1.0,0.018392040456840147
0.1838974629981342,0.98,0.49,6.179977768150721,0.9715594798873984,5.2084182882633225,0.03776570797707264,0.008458707364268452,0.02369657268018045,0.00020630993571386466,0.2625738953612744,0.005376350821327854,0.9988303931138924,0.020451624092320566
0.1947570329033516,1.02,0.51,7.037610382491778,1.0881057885520333,5.949504593939745,0.03509224150356661,0.008409922666901014,0.026539165574439836,0.0002051200650463662,0.254560324797353,0.0053969841004109596,0.9683467921999686,0.020530113030565744
0.21162640795571236,1.0799999999999998,0.5399999999999999,8.436158131169847,1.2564364212338848,7.179721709935962,0.030996584545457378,0.008172085099480805,0.030644790761802067,0.0001993191487678245,0.23500012300426992,0.004139433491509308,0.8939398370855199,0.0157463938900106
0.2292337314028124,1.14,0.57,9.995855511795952,1.419770938958892,8.57608457283706,0.027246903980177244,0.007738424321435811,0.03462855948680224,0.00018874205662038564,0.2078377290401601,0.0038002557456291415,0.7906141633594349,0.014456162655154437
0.24763490171736363,1.1999999999999997,0.5999999999999999,11.686754748184534,1.5620512908893043,10.12470345729523,0.023505875744070145,0.007028428096497522,0.03809881197290986,0.00017142507552432982,0.1722551852681194,0.0034402724474949737,0.6552582623666151,0.013086787155373448
0.26689751316942645,1.26,0.63,13.523166499924137,1.6845892138914438,11.838577286032693,0.019899160150573057,0.0062040808016471,0.041087541802230336,0.0001513190439426122,0.14042961576703503,0.003438166866128265,0.534193881415477,0.013078777529506607
0.280257818025871,1.3,0.65,14.815926121908596,1.7559173319423171,13.060008789966279,0.01775514619833702,0.005568833646414385,0.0428272519985931,0.00013582521088815574,0.11902192718849554,0.003632135661292084,0.45275909152845456,0.013816634305629521
0.31569385885334156,1.3999999999999997,0.6999999999999998,18.260757417086353,1.885709425253292,16.37504799183306,0.012894815808268153,0.0039824400269766495,0.0459929128110559,9.713268358479633e-05,0.07150897566863103,0.0018106527918177297,0.2720199514883102,0.006887718359647723
0.39773257947203744,1.6,0.8,25.80068132464141,1.9874268095518353,23.813254515089575,0.005732504649727062,0.001362418233289839,0.04847382462321549,3.322971300706924e-05,0.018350316795648074,0.0006277880582977976,0.06980455583196124,0.0023881040885615668
0.5047854941881471,1.7999999999999998,0.8999999999999999,33.81702303750276,1.9998675385418918,31.817155498960865,0.0016298194979617279,0.0001752373946828573,0.048777257037607116,4.274082797142861e-06,0.001977049667596679,0.00020871625532940008,0.0075206916284432926,0.0007939560750054312
0.75,2.0,1.0,42.0,2.0,40.0,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0
