p,posterior_x_error_mcmc,posterior_x_error_mcmc_stderr,posterior_x_error_component_norm_mcmc,posterior_x_class_mcmc,posterior_x_class_mcmc_stderr,posterior_x_class_component_norm_mcmc,posterior_x_degeneracy_gain_mcmc,posterior_x_degeneracy_gain_mcmc_stderr,posterior_x_degeneracy_gain_component_norm_mcmc,mean_affine_dimension,mean_list_size,posterior_x_class_component_norm_mcmc_isotonic,posterior_x_class_component_norm_dp_mcmc,scaled_posterior_x_class_component_norm_dp_mcmc
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.025,0.00039467718900908905,0.00039467718900908905,1.973385945045445e-05,0.00039467718900908905,0.00039467718900908905,1.973385945045445e-05,0.0,0.0,0.0,11.0,1.05,1.973385945045445e-05,0.1826695749013218,0.33871374094492757
0.05,0.23456528847710917,0.11824595710958848,0.011728264423855458,0.1419188212244398,0.07362799699333304,0.00709594106122199,0.09264646725266942,0.05985751403794612,0.004632323362633471,11.0,2.35,0.00709594106122199,0.34892270323674257,0.6469874043215869
0.07500000000000001,0.5729958582829429,0.24460107451360036,0.028649792914147144,0.311794146154564,0.11397321045497255,0.015589707307728202,0.2612017121283787,0.1405234323198149,0.013060085606418937,11.0,6.9,0.015589707307728202,0.4807354469792652,0.8914002331211455
0.1,1.279355499032711,0.2692893531363991,0.06396777495163555,0.7350215305978521,0.16264740711655606,0.03675107652989261,0.5443339684348587,0.11777239555005675,0.027216698421742937,11.0,16.0,0.03675107652989261,0.5393037034509401,1.0
0.125,2.140618887677113,0.2603029179962307,0.10703094438385566,1.181962134118563,0.12785531485768925,0.059098106705928154,0.9586567535585508,0.15162568719732056,0.04793283767792754,11.0,31.2,0.052353382640743,0.5220176405604051,0.9679474426377501
0.15000000000000002,2.050250677397595,0.43934233329954336,0.10251253386987975,0.9121731715111568,0.1755795320092384,0.04560865857555784,1.1380775058864387,0.27476789281818276,0.056903875294321934,11.0,38.6,0.052353382640743,0.4898741310451743,0.9083455720969985
0.17500000000000002,3.83459044510325,0.33129332231359804,0.19172952225516252,1.5732833317460362,0.09847247226215843,0.07866416658730181,2.2613071133572147,0.24135321742068283,0.11306535566786073,11.0,93.4,0.07866416658730181,0.4315727409259147,0.800240640226151
0.2,4.080971983396372,0.2534155269427501,0.2040485991698186,1.6930069706511237,0.07927820102460098,0.08465034853255618,2.387965012745248,0.18287912035770185,0.1193982506372624,11.0,109.1,0.08465034853255618,0.33401042218590166,0.6193364148041424
0.225,4.497154507087627,0.24951489011074016,0.22485772535438137,1.752259087592235,0.07725490285630676,0.08761295437961175,2.744895419495392,0.18321035886731793,0.1372447709747696,11.0,147.7,0.08761295437961175,0.23816610874914515,0.44161778831695125
0.25,5.782495842920541,0.15188879985007925,0.28912479214602704,1.9169146937038053,0.021514317996237833,0.09584573468519027,3.865581149216736,0.13449956276223146,0.1932790574608368,11.0,229.4,0.09584573468519027,0.1547171606608406,0.2868831785704862
0.275,6.491968957401835,0.10818089818626546,0.32459844787009173,1.9555158590176855,0.013400461438742215,0.09777579295088427,4.5364530983841505,0.09917777016461686,0.22682265491920753,11.0,306.75,0.09777579295088427,0.09981078788757451,0.1850734331118017
0.30000000000000004,7.154146858076262,0.10012921211650001,0.3577073429038131,1.9782821309085041,0.006222623003636287,0.0989141065454252,5.175864727167759,0.0953932717113414,0.2587932363583879,11.0,378.1,0.0989141065454252,0.05215151799554829,0.09670157586873025
0.325,7.6632432093705205,0.06616580212906467,0.383162160468526,1.9886739143279395,0.0038960919808962565,0.09943369571639697,5.674569295042582,0.06281671084369451,0.2837284647521291,11.0,474.8,0.09943369571639697,0.022355463189438953,0.04145245628092113
0.35000000000000003,8.17268481218385,0.02570954921537081,0.40863424060919246,1.995739533758488,0.0008672333699999693,0.0997869766879244,6.176945278425361,0.025467122093681117,0.30884726392126804,11.0,580.9,0.0997869766879244,0.011437300116396145,0.02120753119848839
0.375,8.666511601218998,0.02546994428464711,0.4333255800609499,1.997656958822296,0.0002795828119923537,0.09988284794111481,6.668854642396701,0.02545545827076847,0.33344273211983505,11.0,676.8,0.09988284794111481,0.0053747492445566335,0.009966089997462011
0.4,9.126806239578498,0.017604969787323,0.4563403119789249,1.998916857099567,0.00028619402070623645,0.09994584285497835,7.127889382478929,0.01760680843440393,0.35639446912394646,11.0,789.8,0.09994584285497835,0.0022904599907642214,0.004247068907756132
0.42500000000000004,9.53832495475878,0.010470014357816883,0.476916247737939,1.9993172778102621,0.00010417942527114617,0.09996586389051311,7.539007676948517,0.010450617064299061,0.37695038384742585,11.0,904.0,0.09996080093472058,0.000886533449343036,0.0016438482503832517
0.45,9.853595925683159,0.008360957142331604,0.4926797962841579,1.999114759578561,0.00015280833123328675,0.09995573797892805,7.854481166104598,0.00837029734135091,0.39272405830522994,11.0,1016.75,0.09996080093472058,0.0005882504687206613,0.001090759186255382
0.47500000000000003,10.0858516987493,0.0059558472791540135,0.504292584937465,1.9992169646287388,0.00012502055023920513,0.09996084823143694,8.086634734120562,0.005924785363700508,0.40433173670602807,11.0,1113.55,0.09996084823143694,0.0008168010675368747,0.0015145474846737783
0.5,11.0,0.0,0.55,2.0,0.0,0.1,9.0,0.0,0.45,11.0,4.0,0.1,0.0,0.0
