p,posterior_z_error_mcmc,posterior_z_error_mcmc_stderr,posterior_z_error_component_norm_mcmc,posterior_z_class_mcmc,posterior_z_class_mcmc_stderr,posterior_z_class_component_norm_mcmc,posterior_z_degeneracy_gain_mcmc,posterior_z_degeneracy_gain_mcmc_stderr,posterior_z_degeneracy_gain_component_norm_mcmc,mean_affine_dimension,mean_list_size,posterior_z_class_component_norm_mcmc_isotonic,posterior_z_class_component_norm_dp_mcmc,scaled_posterior_z_class_component_norm_dp_mcmc
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.025,0.3005350480709382,0.16321848014665993,0.005464273601289786,0.0,0.0,0.0,0.3005350480709382,0.16321848014665993,0.005464273601289786,29.0,1.9,0.0,0.02283540263609882,0.32698964048283036
0.05,0.687860405042176,0.1963021119399419,0.012506552818948656,0.08746287743698264,0.04381537258517003,0.0015902341352178662,0.6003975276051935,0.1805230612878128,0.01091631868373079,29.0,5.55,0.0014214313993282709,0.038586420803005936,0.5525350293560515
0.07500000000000001,1.0999733393890647,0.187728809756226,0.019999515261619357,0.06889457648912714,0.028960507532746746,0.0012526286634386753,1.0310787628999376,0.19057965558899653,0.018746886598180683,29.0,7.65,0.0014214313993282709,0.050616124630946585,0.7247933684139719
0.1,1.7622115599681187,0.2708951296746189,0.032040210181238524,0.25246130739122624,0.09162794479882529,0.004590205588931386,1.5097502525768927,0.21855046512072038,0.02745000459230714,29.0,18.35,0.004590205588931386,0.056398714771797906,0.8075966848848376
0.125,2.5995661311564713,0.2437344130803363,0.047264838748299474,0.2937338461658343,0.07980036844808579,0.005340615384833351,2.305832284990637,0.23534981152081097,0.04192422336346613,29.0,28.9,0.005340615384833351,0.05482919179734807,0.7851220317629528
0.15000000000000002,2.1501791155739114,0.298536841378865,0.03909416573770748,0.3167162314279163,0.0843381051637943,0.005758476935053023,1.833462884145995,0.2699298130009354,0.03333568880265445,29.0,35.4,0.005758476935053023,0.058718268374954544,0.8408113389403712
0.17500000000000002,3.0165394522322226,0.2325548665446311,0.05484617185876768,0.5242490787303418,0.08016092179559794,0.009531801431460759,2.492290373501881,0.2173647437854892,0.045314370427306926,29.0,46.95,0.008866962604849387,0.06504276725315637,0.9313744723071575
0.2,3.6748408147190768,0.26082265414092076,0.06681528754034685,0.4511168078030908,0.07673162926178456,0.008202123778238014,3.2237240069159854,0.22635541930904923,0.05861316376210882,29.0,91.05,0.008866962604849387,0.06983524799862235,1.0
0.225,4.285810548097548,0.17743977719487172,0.07792382814722815,0.6731144032904355,0.06936139638838347,0.012238443696189736,3.6126961448071135,0.14366928821193517,0.06568538445103843,29.0,168.65,0.012238443696189736,0.06486252881974915,0.9287935631162747
0.25,4.810752746965937,0.16674578663529935,0.08746823176301703,0.7717575060179198,0.05702664416424302,0.01403195465487127,4.038995240948017,0.14142173930943128,0.07343627710814576,29.0,240.4,0.01384682289054625,0.05211851615049669,0.7463067382752737
0.275,5.143085886849997,0.19947046152558182,0.09351065248818177,0.7513930119421677,0.05862671932194703,0.01366169112622123,4.391692874907829,0.1833822376113838,0.07984896136196053,29.0,327.5,0.01384682289054625,0.0430359872394307,0.6162502242460666
0.30000000000000004,5.598470531708133,0.13507708790245918,0.10179037330378424,0.8264945568633977,0.04326571342818402,0.015027173761152686,4.771975974844736,0.11067317644955423,0.08676319954263156,29.0,425.85,0.015027173761152686,0.03851265290880002,0.5514787161572013
0.325,6.353153650355211,0.12291805558309433,0.11551188455191293,0.9314694200405036,0.019695838749921552,0.016935807637100064,5.421684230314709,0.11686614612797758,0.09857607691481288,29.0,573.9,0.016783114171253263,0.034789028626272096,0.49815858929803447
0.35000000000000003,6.861051094525758,0.1353517298959699,0.12474638353683196,0.9146731387973555,0.025226003496749135,0.016630420705406462,5.946377955728401,0.1176132307288185,0.10811596283142548,29.0,708.75,0.016783114171253263,0.027456100509863256,0.39315533769429567
0.375,7.945569731011679,0.06349253141667299,0.14446490420021235,0.9803184810276919,0.004927706865313789,0.01782397238232167,6.965251249983988,0.06421610959259326,0.12664093181789068,29.0,893.05,0.01782397238232167,0.018370223451895207,0.2630508801552133
0.4,8.730696577471374,0.04675418535390551,0.1587399377722068,0.9919638282739169,0.0018276105062842015,0.018035705968616672,7.73873274919746,0.04632774733913556,0.14070423180359018,29.0,1070.05,0.018035705968616672,0.010380444311259729,0.14864190518038262
0.42500000000000004,9.550493123208765,0.019463151490817013,0.17364532951288664,0.995680800560595,0.0012606549449793044,0.01810328728291991,8.554812322648171,0.018844234447227912,0.15554204222996676,29.0,1271.7,0.01810328728291991,0.005125963602350661,0.07340080760437453
0.45,10.159778886985144,0.012681081180281191,0.18472325249063898,0.9981534473044975,0.0007045490413509012,0.01814824449644541,9.161625439680645,0.012522616966084603,0.16657500799419353,29.0,1488.75,0.01814824449644541,0.001757194448038383,0.025161999110721957
0.47500000000000003,10.640748534284523,0.0038914098558865185,0.1934681551688095,0.9990983012856652,0.0002501157537874101,0.018165423659739367,9.641650232998858,0.0038375388294119906,0.17530273150907014,29.0,1704.45,0.018165423659739367,0.0009686654890197059,0.013870724552146142
0.5,29.0,0.0,0.5272727272727272,1.0,0.0,0.01818181818181818,28.0,0.0,0.509090909090909,29.0,2.0,0.01818181818181818,0.0,0.0
