p,posterior_z_error_mcmc,posterior_z_error_mcmc_stderr,posterior_z_error_component_norm_mcmc,posterior_z_class_mcmc,posterior_z_class_mcmc_stderr,posterior_z_class_component_norm_mcmc,posterior_z_degeneracy_gain_mcmc,posterior_z_degeneracy_gain_mcmc_stderr,posterior_z_degeneracy_gain_component_norm_mcmc,mean_affine_dimension,mean_list_size,posterior_z_class_component_norm_mcmc_isotonic,posterior_z_class_component_norm_dp_mcmc,scaled_posterior_z_class_component_norm_dp_mcmc
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.025,0.016498714211846014,0.01649871421184601,0.00044591119491475714,0.016498714211846014,0.01649871421184601,0.00044591119491475714,0.0,0.0,0.0,19.0,1.1,0.00044591119491475714,0.13699748629256184,0.3201271953845073
0.05,0.421391803997577,0.13515808251340033,0.01138896767561019,0.41063200625463814,0.1324410332331063,0.011098162331206435,0.010759797742938813,0.004313575121848746,0.0002908053444037517,19.0,4.6,0.01097972407908715,0.20542656318182712,0.4800280013053578
0.07500000000000001,0.4188969168922013,0.1620318214395686,0.01132153829438382,0.40186757559781106,0.15517613743654465,0.010861285826967866,0.017029341294390276,0.007632955794541426,0.0004602524674159534,19.0,4.75,0.01097972407908715,0.2869023849734443,0.6704156283169818
0.1,0.6782930476734317,0.19560188689474847,0.01833224453171437,0.5900141262188725,0.16732038744763117,0.015946327735645204,0.08827892145455929,0.048322917180092996,0.00238591679606917,19.0,7.95,0.015946327735645204,0.37290818049519925,0.8713886158679781
0.125,1.7946802858523199,0.3100198426891389,0.04850487259060324,1.4443231568990733,0.2338409422379148,0.039035760997272254,0.35035712895324617,0.08526402718027834,0.009469111593330977,19.0,21.2,0.039035760997272254,0.39046357128672715,0.9124109599274105
0.15000000000000002,1.936611000868016,0.26682656813573336,0.05234083786129773,1.5537471538480951,0.21228951346531544,0.04199316632021879,0.38286384701992093,0.08247092978324044,0.010347671541078945,19.0,22.35,0.04199316632021879,0.3575240051699782,0.8354398329125791
0.17500000000000002,2.2934822497669916,0.3068527905310461,0.06198600675045923,1.854278461667473,0.2448086115094678,0.05011563409912089,0.4392037880995187,0.08198903652754802,0.011870372651338343,19.0,47.25,0.05011563409912089,0.3391507083971149,0.7925062570854781
0.2,2.9078856650206424,0.235692791747437,0.07859150446001736,2.0839448561092873,0.179380987728308,0.056322833948899656,0.8239408089113557,0.08787172720582981,0.022268670511117722,19.0,67.3,0.056322833948899656,0.3776056871762048,0.8823654569749667
0.225,3.397723200900652,0.21836175387838105,0.0918303567810987,2.551252407688731,0.1560345622146366,0.06895276777537111,0.8464707932119213,0.08735922625570908,0.022877589005727603,19.0,101.0,0.06895276777537111,0.42794704188756305,1.0
0.25,4.401567862394499,0.2454278593838408,0.1189612935782297,2.9626195149291337,0.13437772437523818,0.0800707977007874,1.4389483474653664,0.12941361826654493,0.03889049587744233,19.0,186.75,0.0800707977007874,0.413006052347314,0.965086825990552
0.275,5.542896050838243,0.15601288713907818,0.14980800137400657,3.519765234178288,0.0770207575398367,0.0951287901129267,2.0231308166599544,0.08847726675628374,0.05467921126107985,19.0,269.1,0.0951287901129267,0.3296817851422902,0.7703798668362085
0.30000000000000004,6.094862179277762,0.15724920617786842,0.16472600484534494,3.5907425386146956,0.04823076648054299,0.09704709563823502,2.504119640663067,0.11654989158375312,0.06767890920710991,19.0,394.6,0.09704709563823502,0.2200870217140128,0.5142856479233182
0.325,6.957558304455333,0.09425995025690193,0.18804211633663062,3.780208215260321,0.01840145308107217,0.1021677896016303,3.1773500891950124,0.08121071952399413,0.08587432673500034,19.0,514.2,0.1021677896016303,0.13788572205299873,0.3222027694006732
0.35000000000000003,7.699668138486729,0.06746371851288299,0.2080991388780197,3.858988916214116,0.014873105298127359,0.10429699773551665,3.840679222272611,0.060802270269103884,0.10380214114250301,19.0,668.8,0.10429699773551665,0.08602718596405161,0.20102297140461137
0.375,8.287271973642273,0.0639631522060839,0.22398032361195333,3.9020765544930134,0.010129024765945566,0.10546152849981118,4.385195419149262,0.05735580712106699,0.11851879511214222,19.0,835.0,0.10546152849981118,0.05876277182475776,0.13731318614931992
0.4,9.139600187293427,0.029306036776906026,0.24701622127820072,3.9573013912832726,0.003966517570536494,0.10695409165630466,5.182298796010153,0.028080707552151158,0.14006212962189604,19.0,1028.2,0.10695409165630466,0.03622184797379097,0.08464095887665404
0.42500000000000004,9.748290880692455,0.017793384141243065,0.2634673210997961,3.9752634966772105,0.0023841610410420327,0.10743955396424894,5.773027384015245,0.016993508080338178,0.15602776713554717,19.0,1227.25,0.10743955396424894,0.02205721942049404,0.05154193687893105
0.45,10.243627752889726,0.006240240547069492,0.27685480413215474,3.982407176524822,0.0020810562197325867,0.10763262639256276,6.261220576364906,0.006281177032106189,0.16922217773959206,19.0,1442.1,0.10763262639256276,0.013386501418628011,0.031280742961988094
0.47500000000000003,10.633241801787783,0.004370230319865049,0.287384913561832,3.9900915790341336,0.0008176445638193615,0.10784031294686848,6.643150222753649,0.00439007626821179,0.17954460061496347,19.0,1661.05,0.10784031294686848,0.01002948625682464,0.023436278967105803
0.5,19.0,0.0,0.5135135135135135,4.0,0.0,0.10810810810810811,15.0,0.0,0.40540540540540543,19.0,16.0,0.10810810810810811,0.0,0.0
