p,posterior_x_error_mcmc,posterior_x_error_mcmc_stderr,posterior_x_error_component_norm_mcmc,posterior_x_class_mcmc,posterior_x_class_mcmc_stderr,posterior_x_class_component_norm_mcmc,posterior_x_degeneracy_gain_mcmc,posterior_x_degeneracy_gain_mcmc_stderr,posterior_x_degeneracy_gain_component_norm_mcmc,mean_affine_dimension,mean_list_size,posterior_x_class_component_norm_mcmc_isotonic,posterior_x_class_component_norm_dp_mcmc,scaled_posterior_x_class_component_norm_dp_mcmc
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.025,0.16497088545984068,0.09807399388710546,0.001718446723540007,0.1211312804227485,0.07094669120530765,0.0012617841710702968,0.043839605037092146,0.03612122271761165,0.00045666255246970983,49.0,1.85,0.0012617841710702968,0.034802312992963706,0.4315046970240593
0.05,0.24968899523257732,0.11577491840185468,0.0026009270336726804,0.13542593908375494,0.06757535899845171,0.0014106868654557806,0.11426305614882241,0.064681399940666,0.0011902401682169002,49.0,2.2,0.0014106868654557806,0.033380790157992835,0.4138796104287832
0.07500000000000001,0.3948182601123025,0.11338742659038897,0.0041126902095031505,0.17026683726613684,0.0720304971224219,0.0017736128881889253,0.22455142284616567,0.09381065643065546,0.002339077321314226,49.0,2.7,0.0017736128881889253,0.039543003762629245,0.49028327115684367
0.1,0.9172799714133978,0.18776207900868905,0.009554999702222894,0.502404750488646,0.12817336530881573,0.0052333828175900625,0.414875220924752,0.1022761857141719,0.0043216168846328335,49.0,4.95,0.004245304655263073,0.04726554123489861,0.5860329758647538
0.125,0.6622541467646036,0.14377005208862095,0.006898480695464621,0.31269374332186406,0.07601369914235888,0.003257226492936084,0.34956040344273953,0.10106338455429506,0.003641254202528537,49.0,4.25,0.004245304655263073,0.05176552866825693,0.6418271328346062
0.15000000000000002,1.1486852340403866,0.19721719640397747,0.011965471187920693,0.5911752139375699,0.11169241967981727,0.00615807514518302,0.5575100201028166,0.12010533297975594,0.005807396042737673,49.0,7.95,0.00615807514518302,0.052276210155626245,0.648158937865141
0.17500000000000002,1.455759758481446,0.2035655100651761,0.015164164150848395,0.7769392927845022,0.12291980983932607,0.008093117633171899,0.6788204656969439,0.10859490422967732,0.007071046517676499,49.0,12.95,0.008093117633171899,0.04503135777148928,0.5583319245389549
0.2,1.4924571440436618,0.2707577533044402,0.015546428583788144,0.7910999324510944,0.13837677374779245,0.008240624296365568,0.7013572115925671,0.1444514170340642,0.007305804287422574,49.0,13.55,0.008240624296365568,0.040834642768467704,0.5062979624215153
0.225,1.81550195325817,0.24254788714174041,0.018911478679772605,1.0356908478013709,0.11957164302192227,0.01078844633126428,0.7798111054567993,0.15597994528198952,0.008123032348508327,49.0,18.15,0.009611642220198103,0.04232939777300258,0.5248310353666216
0.25,1.7888085679201076,0.3000437436711167,0.01863342258250112,0.8097444584766651,0.14449597021502653,0.008434838109131928,0.9790641094434427,0.17906219600817191,0.010198584473369195,49.0,33.35,0.009611642220198103,0.04961994433474004,0.615224598745537
0.275,2.449131813213572,0.2388358900841673,0.025511789720974707,1.216964215391133,0.12106949111066737,0.01267671057699097,1.2321675978224387,0.15249027816999447,0.012835079143983736,49.0,71.55,0.01267671057699097,0.060847143451063894,0.7544276785551344
0.30000000000000004,2.8225887764243347,0.3057761921585223,0.02940196642108682,1.2765199111421737,0.13048311375333102,0.013297082407730976,1.546068865282161,0.2034697153710889,0.016104884013355844,49.0,90.4,0.013297082407730976,0.071228193514445,0.883139579493917
0.325,3.3495688807263315,0.34847085741870315,0.03489134250756595,1.3611878061588842,0.12890173799670435,0.014179039647488378,1.988381074567447,0.2321213636137294,0.020712302860077574,49.0,146.95,0.014179039647488378,0.08065338160391622,0.9999999999999999
0.35000000000000003,5.077485976756102,0.1654161196811142,0.05289047892454273,1.8351517074910118,0.02871901645922461,0.019116163619698038,3.2423342692650907,0.14868207024564994,0.0337743153048447,49.0,257.05,0.019116163619698038,0.07337001382394275,0.9096954444422225
0.375,5.942614499698121,0.1304169415116987,0.06190223437185543,1.8864603227235541,0.01922471837541116,0.019650628361703688,4.056154176974566,0.12404126642094257,0.04225160601015173,49.0,403.95,0.019650628361703688,0.050976833400676325,0.6320483082906605
0.4,7.290502207319845,0.13217725129690325,0.07594273132624839,1.9506879310656842,0.014094733352475788,0.020319665948600876,5.3398142762541605,0.12025195553428492,0.0556230653776475,49.0,613.9,0.020319665948600876,0.026814795654665113,0.3324695768659883
0.42500000000000004,8.571225676242566,0.06510813233351234,0.0892836007941934,1.9876677396091034,0.002617135233551041,0.020704872287594826,6.583557936633466,0.06350289430924211,0.0685787285065986,49.0,903.7,0.020704872287594826,0.011021511671990213,0.1366528154531223
0.45,9.660236336193288,0.016716780115712798,0.10062746183534675,1.994686800001611,0.001154165557299586,0.02077798750001678,7.665549536191678,0.016487875476170304,0.07984947433532998,49.0,1217.2,0.02077798750001678,0.00543820128645817,0.06742682300867235
0.47500000000000003,10.457709062089592,0.0068853181310671386,0.10893446939676658,1.9981019596481215,0.00042998883711279615,0.020813562079667933,8.45960710244147,0.00700961484251121,0.08812090731709865,49.0,1575.05,0.020813562079667933,0.002134147016675966,0.026460725815026953
0.5,49.0,0.0,0.5104166666666666,2.0,0.0,0.020833333333333332,47.0,0.0,0.4895833333333333,49.0,4.0,0.020833333333333332,0.0,0.0
