p,posterior_z_error_mcmc,posterior_z_error_mcmc_stderr,posterior_z_error_component_norm_mcmc,posterior_z_class_mcmc,posterior_z_class_mcmc_stderr,posterior_z_class_component_norm_mcmc,posterior_z_degeneracy_gain_mcmc,posterior_z_degeneracy_gain_mcmc_stderr,posterior_z_degeneracy_gain_component_norm_mcmc,mean_affine_dimension,mean_list_size,posterior_z_class_component_norm_mcmc_isotonic,posterior_z_class_component_norm_dp_mcmc,scaled_posterior_z_class_component_norm_dp_mcmc
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.025,0.016528882818984115,0.01649715389893346,0.0008264441409492057,0.016528381409986206,0.016497179382042263,0.0008264190704993103,5.014089979076887e-07,5.014089979076886e-07,2.5070449895384433e-08,11.0,1.4,0.0008264190704993103,0.1453154757820514,0.2268877013086284
0.05,0.12146131073026442,0.08258789344082108,0.006073065536513221,0.07157473301530895,0.047262028443041865,0.0035787366507654475,0.04988657771495544,0.03637817144877654,0.002494328885747772,11.0,3.15,0.0035787366507654475,0.2571593433385161,0.40151464918727453
0.07500000000000001,0.6593100313423326,0.17073525006265805,0.032965501567116626,0.359022584191684,0.10955418439901171,0.0179511292095842,0.30028744715064876,0.09520581061451074,0.015014372357532437,11.0,5.75,0.0179511292095842,0.409917459016453,0.640022884706437
0.1,0.7536246144395686,0.23306379184402548,0.03768123072197843,0.38053112198453254,0.12083722052861419,0.019026556099226627,0.3730934924550361,0.13135786042294156,0.018654674622751805,11.0,12.4,0.019026556099226627,0.5593456690459246,0.8733319861754308
0.125,1.6057881744782538,0.2345705370354006,0.08028940872391269,0.851855059104199,0.13949062862838923,0.04259275295520995,0.7539331153740545,0.11739337761974655,0.03769665576870272,11.0,21.55,0.04259275295520995,0.6404731280889624,1.0
0.15000000000000002,2.78115421321104,0.2195854055327469,0.139057710660552,1.4006909978212048,0.09005647666466714,0.07003454989106024,1.380463215389835,0.15252372696860794,0.06902316076949175,11.0,47.8,0.07003454989106024,0.5802281526286751,0.9059367632799121
0.17500000000000002,2.9528233548899614,0.27177720863241533,0.14764116774449806,1.4067419233864882,0.10440883113579921,0.0703370961693244,1.5460814315034732,0.18048967644064587,0.07730407157517366,11.0,61.05,0.0703370961693244,0.44568581787948064,0.6958696599954377
0.2,4.202446985817934,0.26199637316227437,0.2101223492908967,1.7000744557530205,0.0747704196241368,0.08500372278765103,2.5023725300649144,0.2032329301386128,0.12511862650324573,11.0,113.9,0.08500372278765103,0.3119091012638644,0.48699795133409546
0.225,5.199218401346512,0.2902311495610694,0.2599609200673256,1.8383816517507072,0.053267416799897306,0.09191908258753537,3.360836749595806,0.24380789608429426,0.1680418374797903,11.0,168.8,0.09161077808741044,0.21253198946330604,0.3318359196387473
0.25,5.360267961869602,0.23562206402328634,0.2680133980934801,1.8260494717457108,0.04951519928320559,0.09130247358728553,3.534218490123892,0.19054039855620533,0.1767109245061946,11.0,200.4,0.09161077808741044,0.15051796902569994,0.23501059205218183
0.275,6.245293631604351,0.10980181849961297,0.3122646815802176,1.9450405659015293,0.013677193327670823,0.09725202829507647,4.300253065702821,0.09906983499335913,0.21501265328514102,11.0,270.0,0.09725202829507647,0.09887820258231353,0.15438306190510345
0.30000000000000004,6.980186472646913,0.0983197625216831,0.34900932363234566,1.9725994059705,0.008496609317443587,0.09862997029852501,5.007587066676413,0.09295105378229979,0.25037935333382066,11.0,360.7,0.09862997029852501,0.06406709116446149,0.10003088085151093
0.325,7.578679440920548,0.06370681429012748,0.3789339720460274,1.9907037358761872,0.0025778061088574957,0.09953518679380936,5.587975705044361,0.06245245151583335,0.27939878525221806,11.0,448.05,0.09953518679380936,0.03448908959221608,0.05384939364298437
0.35000000000000003,8.004547311510999,0.056325659646261704,0.40022736557554994,1.9922342422933028,0.002804745723279607,0.09961171211466514,6.012313069217695,0.05432590074218623,0.30061565346088476,11.0,537.85,0.09961171211466514,0.013232344520236545,0.020660264950879498
0.375,8.639625172406424,0.026858487130947968,0.4319812586203212,1.9974556811888575,0.0004910958570263458,0.09987278405944287,6.642169491217567,0.026843326101493203,0.33210847456087833,11.0,656.8,0.09987278405944287,0.006137305281006976,0.009582455550195228
0.4,9.1144264462304,0.014242447713535998,0.45572132231152,1.9985174648578916,0.00023572775406708858,0.09992587324289458,7.115908981372509,0.014293968650302516,0.3557954490686254,11.0,774.35,0.09992587324289458,0.002753147199292686,0.004298614693652333
0.42500000000000004,9.49747040203167,0.010492870415349895,0.4748735201015835,1.9987916581835345,0.0002584617977218961,0.09993958290917673,7.498678743848136,0.01041813363008023,0.3749339371924068,11.0,889.95,0.09993958290917673,0.0013545467373292158,0.002114915798842177
0.45,9.841423962941393,0.007379397270103478,0.4920711981470697,1.9993103532698495,0.00010418947448762202,0.09996551766349247,7.842113609671543,0.007342181154235263,0.39210568048357713,11.0,1009.1,0.09995464318778455,0.000779881831553469,0.0012176651874224185
0.47500000000000003,10.074967007162531,0.007794549557235429,0.5037483503581266,1.9988753742415324,0.0002460696026196358,0.09994376871207662,8.076091632920999,0.007793256524380749,0.40380458164604993,11.0,1105.4,0.09995464318778455,0.0010380040267660528,0.0016206831812963635
0.5,11.0,0.0,0.55,2.0,0.0,0.1,9.0,0.0,0.45,11.0,4.0,0.1,0.0,0.0
