p,posterior_z_error_mcmc,posterior_z_error_mcmc_stderr,posterior_z_error_component_norm_mcmc,posterior_z_class_mcmc,posterior_z_class_mcmc_stderr,posterior_z_class_component_norm_mcmc,posterior_z_degeneracy_gain_mcmc,posterior_z_degeneracy_gain_mcmc_stderr,posterior_z_degeneracy_gain_component_norm_mcmc,mean_affine_dimension,mean_list_size,posterior_z_class_component_norm_mcmc_isotonic,posterior_z_class_component_norm_dp_mcmc,scaled_posterior_z_class_component_norm_dp_mcmc
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.025,0.10096436684554977,0.05345430360417354,0.0010517121546411434,0.04846292048277157,0.023620372249788673,0.0005048220883622039,0.052501446362778204,0.0499276597000698,0.0005468900662789397,50.0,1.5,0.0005048220883622039,0.04799231255083446,0.22767826092796994
0.05,0.5701088962841182,0.16206610031616656,0.005938634336292898,0.3743406508477979,0.12282982602669042,0.003899381779664561,0.19576824543632032,0.07518871090835759,0.002039252556628337,50.0,2.85,0.00375111111658235,0.05487078865443113,0.26031014286620047
0.07500000000000001,0.39379241403376064,0.10159894087691099,0.004102004312851674,0.3458726835360133,0.09476000281294338,0.0036028404535001384,0.04791973049774738,0.025203788009915188,0.0004991638593515352,50.0,2.85,0.00375111111658235,0.05840059228176947,0.27705573207777223
0.1,0.6289921415545086,0.14136483594215957,0.006552001474526131,0.43898955149734037,0.09572290666933422,0.0045728078280972955,0.19000259005716819,0.07501559919430441,0.001979193646428835,50.0,3.65,0.0045728078280972955,0.06052206425065118,0.2871201157844504
0.125,1.1231766800782284,0.18348485642776988,0.011699757084148213,0.9313962967386503,0.1567920636637379,0.009702044757694274,0.19178038333957784,0.05223399868790026,0.001997712326453936,50.0,6.95,0.008548839093496925,0.04965610324787332,0.23557137864445216
0.15000000000000002,1.151954425196052,0.20920413605956326,0.011999525262458876,0.9384179095330378,0.16906457729965788,0.00977518655763581,0.21353651566301424,0.07496013196165824,0.002224338704823065,50.0,7.45,0.008548839093496925,0.035883165071510556,0.1702317764208415
0.17500000000000002,1.0762462008021523,0.17803811899358368,0.011210897925022419,0.6724062537314232,0.1614402332479505,0.007004231809702325,0.4038399470707293,0.10507194966608178,0.004206666115320097,50.0,9.45,0.008548839093496925,0.037654597352862196,0.1786355519368183
0.2,0.9470458687372929,0.24327385748985667,0.009865061132680134,0.7405337518997077,0.20405041244490923,0.007713893248955289,0.20651211683758497,0.08537555727598659,0.0021511678837248436,50.0,8.15,0.008548839093496925,0.061639299736764866,0.2924203444878692
0.225,1.4927021189086789,0.2129236912355239,0.015548980405298738,1.1468613953244324,0.18156337364789055,0.011946472867962838,0.34584072358424656,0.07457352758450612,0.0036025075373359015,50.0,11.35,0.011946472867962838,0.08606747629823126,0.40830900376564266
0.25,1.8334801298782775,0.2296698358042363,0.019098751352898725,1.4133224724435314,0.18046723426372882,0.014722109087953452,0.42015765743474615,0.07964913890492221,0.004376642264945272,50.0,27.3,0.014722109087953452,0.09961413309687298,0.47257511426064897
0.275,2.1520698713573845,0.26492312650185806,0.022417394493306087,1.6458927779708374,0.2034476426546138,0.017144716437196224,0.5061770933865467,0.0924996443835761,0.005272678056109862,50.0,44.5,0.017144716437196224,0.12537802044413124,0.5948004614921379
0.30000000000000004,2.283590831002026,0.30788712601814106,0.02378740448960444,1.7031272401333755,0.24139624886371325,0.01774090875138933,0.5804635908686508,0.08845218431753131,0.006046495738215113,50.0,72.35,0.01774090875138933,0.1712328844476458,0.8123385449164434
0.325,3.1467432375891082,0.3094092926131689,0.03277857539155321,2.361078963152464,0.2091395176922702,0.024594572532838168,0.7856642744366444,0.11306416584738282,0.008184002858715046,50.0,124.25,0.024594572532838168,0.21079005239774595,1.0
0.35000000000000003,4.874163998058997,0.2233772994920149,0.05077254164644788,3.22897436512642,0.11411376935031324,0.033635149636733544,1.645189632932576,0.12001668730158718,0.01713739200971433,50.0,247.6,0.033635149636733544,0.20150138696113457,0.9559340427550901
0.375,5.832666546616296,0.12707724067342926,0.06075694319391975,3.482445847733698,0.05107653101272204,0.03627547758055936,2.3502206988825973,0.08522268150668977,0.024481465613360388,50.0,419.05,0.03627547758055936,0.1512538332988807,0.7175567896983839
0.4,7.197729247427567,0.08709817551134502,0.07497634632737049,3.7946523465143462,0.017459579223178756,0.03952762860952444,3.403076900913221,0.07560267884676539,0.03544871771784605,50.0,613.05,0.03952762860952444,0.09289755898436992,0.4407113045784475
0.42500000000000004,8.4068097293463,0.06341079658666368,0.08757093468069062,3.924968712767445,0.009946115382593811,0.040885090757994215,4.481841016578854,0.05517926480777928,0.046685843922696396,50.0,869.5,0.040885090757994215,0.04988026657463551,0.23663482221881596
0.45,9.662987008711237,0.019354081473165148,0.10065611467407538,3.9781573766392135,0.0016668797718431237,0.041439139339991805,5.684829632072022,0.01948560918709479,0.059216975334083564,50.0,1230.85,0.041439139339991805,0.02474893036775204,0.11741033358183599
0.47500000000000003,10.467974044754364,0.005976454351065316,0.10904139629952463,3.9908417581841684,0.0005830252538191557,0.04157126831441842,6.477132286570196,0.006174998719330199,0.06747012798510621,50.0,1581.7,0.04157126831441842,0.010086306526288504,0.047850011950546674
0.5,50.0,0.0,0.5208333333333334,4.0,0.0,0.041666666666666664,46.0,0.0,0.4791666666666667,50.0,16.0,0.041666666666666664,0.0,0.0
