p,posterior_x_error,posterior_x_class,posterior_x_saved_by_stabilizers,posterior_x_error_stderr,posterior_x_class_stderr,posterior_x_class_component_norm,posterior_x_class_component_norm_dp,scaled_posterior_x_class_component_norm_dp
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.34473949480013744,4.8896392215169726e-05,0.34469059840792227,0.2168847133265927,0.306722855233434,5.752516731196439e-07,0.003864283170103403,0.03374139580311208
0.04,0.8722816794498307,0.01313856277835157,0.8591431166714791,0.2343227558376551,0.3317730129440483,0.00015457132680413613,0.022010046817198772,0.19218304368834818
0.06,2.39882765367458,0.07488305557069097,2.323944598103889,0.22399599444037382,0.3189747514302082,0.0008809771243610703,0.07056312684236964,0.6161293795221239
0.08,3.2357223859269517,0.25305319404240834,2.9826691918845434,0.19612308892812472,0.2820429740002641,0.0029770964004989216,0.10715345635603368,0.9356216983662927
0.1,5.69954510592504,0.4392048071812056,5.260340298743834,0.16931235546959944,0.24595013131890292,0.005167115378602418,0.11452647639867312,1.0
0.12,8.385694459141433,0.6424432137978968,7.7432512453435365,0.1449130926402666,0.2103553001836377,0.007558155456445845,0.09380159324089149,0.8190384982627323
0.14,11.191032572488574,0.7581302242002366,10.432902348288337,0.11863391592108749,0.17327119661618615,0.008919179108238078,0.06792923911410084,0.5931313112055883
0.16,14.196950864494411,0.8734026267858397,13.323548237708572,0.09796872152466536,0.14203310135800928,0.010275325021009878,0.0530071773822105,0.4628377563777439
0.18,17.237624584112886,0.938354627299752,16.299269956813134,0.07310047885763517,0.10556910817211584,0.011039466203526496,0.0250630776624034,0.21884090430895134
0.2,20.247247288159386,0.9586170908380112,19.288630197321375,0.05505366810717238,0.07910003358686549,0.011277848127506014,0.014929810165993929,0.13036121109692067
0.22,23.12664153790724,0.9891159818641313,22.13752555604311,0.043636812059189935,0.06213294348769125,0.01163665861016625,0.011794111252946049,0.1029815255285606
0.24,25.9241854413471,0.9987170690980278,24.92546837224907,0.03180443084430637,0.04520943117388236,0.011749612577623856,0.003383947339464566,0.029547292869509533
0.26,28.434325854631957,1.000621402818311,27.433704451813647,0.02358002886305541,0.03334138265111937,0.011772016503744834,0.00030338057510781447,0.002648999468487353
0.28,30.799801916989722,0.9997485630533944,29.800053353936327,0.018014126605767348,0.02556466406874456,0.01176174780062817,0.0,0.0
0.3,32.95741288999424,0.9998085399333974,31.95760435006084,0.012254771404773082,0.017333927430032453,0.011762453410981146,1.9966161382001246e-05,0.0001743366425812134
0.32,34.90287246592562,0.9998164480020932,33.903056017923525,0.008817361136270071,0.01247370874991027,0.01176254644708345,6.91052219014554e-05,0.000603399528864367
0.34,36.62122560218712,1.0000434976878623,35.621182104499255,0.006216377027009095,0.00878902934877425,0.011765217619857203,6.304720930216945e-05,0.0005505033533267763
0.36,38.13667015135064,1.0000308085137206,37.13663934283692,0.0038778133418580943,0.005484781834932005,0.011765068335455537,0.0,0.0
0.38,39.437506595824935,1.0000051091112567,38.43750148671368,0.0023604241984700705,0.003337853032746434,0.011764765989544197,0.0,0.0
0.4,40.53105346859306,0.9999998520551969,39.53105361653786,0.0013605954284729837,0.0019241649405758498,0.011764704141825847,0.0,0.0
0.42,41.42517041306389,1.000000769624748,40.42516964343914,0.000691716359460786,0.0009782095575018549,0.01176471493676174,4.161845240657769e-08,3.6339590385808704e-07
0.44,42.11480401997508,0.9999999935579353,41.11480402641715,0.00027294617931955165,0.00038600393221790367,0.011764705806563944,0.0,0.0
0.46,42.607209198490686,1.0000000036462993,41.60720919484439,8.051601135181872e-05,0.00011386686661968514,0.01176470592525058,1.887496214880713e-09,1.648087214619467e-08
0.48,42.90188519161665,0.9999999999754223,41.90188519164123,1.0072315193252886e-05,1.4244405102525397e-05,0.011764705882063792,0.0,0.0
0.5,43.0,1.0,42.0,0.0,0.0,0.011764705882352941,0.0,0.0
