p,exact_x_error,exact_x_class,exact_x_saved_by_stabilizers,exact_x_class_component_norm,exact_x_class_component_norm_dp,scaled_exact_x_class_component_norm_dp
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.03097698304605334,0.000853674247968339,0.030123308798085002,2.0821323121179e-05,0.006166848229629356,0.03209111709382451
0.02,0.12083194581083045,0.0066070926187213885,0.11422485319210907,0.00016114860045661922,0.02361539515718491,0.12289007009528849
0.03,0.2723619488261928,0.021411313206201932,0.25095063561999087,0.0005222271513707789,0.04975216548155836,0.25890090183652587
0.04,0.48879748542814916,0.04807135986395039,0.44072612556419877,0.0011724721918036681,0.08076601969518553,0.4202911598808901
0.05,0.771876603271485,0.08774913332681855,0.6841274699446664,0.002140222764068745,0.112599681248156,0.5859475409660063
0.06,1.12138210074475,0.14002193905040095,0.981360161694349,0.0034151692451317305,0.14167534241527435,0.7372518073190055
0.07,1.535133839786564,0.20317474709629302,1.331959092690271,0.004955481636494952,0.1653123961208189,0.8602545844220897
0.08,2.0092174061434527,0.2746073610088171,1.7346100451346356,0.006697740512410173,0.1818805439243082,0.9464721061433146
0.09,2.538333351647225,0.3512618368649747,2.18707151478225,0.00856736187475548,0.1907578681623488,0.9926680300569357
0.1,3.116190117846198,0.4300052996898174,2.6861848181563808,0.010487934138776033,0.19216682958088982,0.9999999999999999
0.11,3.7358888248404973,0.5079315889934399,3.2279572358470574,0.012388575341303413,0.18695172791905162,0.972861592850274
0.12,4.390267527956244,0.5825682051440921,3.8076993228121516,0.01420898061327054,0.1763459834973901,0.9176712957277564
0.13,5.072187717388658,0.6519915180334905,4.420196199355168,0.015902232147158305,0.1617614451414062,0.8417761040976901
0.14,5.774757109971183,0.7148633753843079,5.0598937345868755,0.017435692082544096,0.14461760880853075,0.752562807660081
0.15,6.49149052907984,0.7704071683150246,5.7210833607648155,0.018790418739390843,0.12621743005554278,0.6568117418121497
0.16,7.216415427386654,0.8183424370360939,6.39807299035056,0.01995957163502668,0.10766859786178173,0.5602871114468806
0.17,7.944131015177231,0.8587955644647955,7.085335450712435,0.020946233279629158,0.08984437733736436,0.46753322377911055
0.18,8.669830655838613,0.8922011436103325,7.77762951222828,0.02176100350269104,0.0733758167463607,0.38183393516139696
0.19,9.389296756079975,0.9192050807445113,8.470091675335464,0.022419636115719788,0.05866657478040637,0.30528980942421974
0.2,10.098876284821873,0.9405770068898711,9.158299277932002,0.02294090260707003,0.04592223581021891,0.2389706689254017
0.21,10.795443660799407,0.9571364782355083,9.838307182563899,0.02334479215208557,0.035187233985683734,0.18310774061489202
0.22,11.476356306104545,0.9696949319636907,10.506661374140855,0.023651095901553433,0.026384019163304972,0.13729746814706648
0.23,12.139406829828385,0.9790134762619722,11.160393353566413,0.0238783774698042,0.01935060674447966,0.1006969141692287
0.24,12.782774667550289,0.985775294931674,11.796999372618615,0.024043299876382294,0.01387400009288916,0.07219768428894802
0.25,13.404979088795145,0.9905706528857579,12.414408435909387,0.0241602598264819,0.00971807993854669,0.0505710582817104
0.26,14.004834788614936,0.9938920947977863,13.01094269381715,0.024241270604824054,0.00664540204384307,0.03458142104095954
0.27,14.581410772114232,0.9961373326535465,13.585273439460686,0.024296032503745037,0.0044329550223411686,0.023068263300223626
0.28,15.133992883834704,0.9976174307824408,14.136375453052263,0.02433213245810831,0.00288234897093621,0.014999201356563607
0.29,15.662050089602001,0.9985681504945525,14.663481939107449,0.024355320743769573,0.0018251807780042552,0.009497897123998561
0.3,16.165204454934063,0.9991626600962604,15.166041794837803,0.024369820977957573,0.001124491068447023,0.005851639801205571
