p,p_low,p_high,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_dp_stderr,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_dp_stderr,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_dp_stderr,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_dp_stderr,exact_x_class_norm_stderr,exact_x_class_stderr,runs
0.46,0.4575,0.4625,0.008,7.206557967750653e-07,5.4049184758129853e-05,3.117405917209156e-05,2.538960724713537e-07,0.5999999999999995,0.3460632308693884,0.008,0.5999999999999995,0.3460632308693884,0.0028185003005044974,3.6032789838753266e-07,2.7024592379064927e-05,1.558702958604578e-05,1.2694803623567684e-07,0.0028185003005044974,1000
0.4625,0.46,0.465,0.008,7.206557967750653e-07,9.008197459688309e-05,4.0205150434103006e-05,2.538960724713537e-07,0.9999999999999992,0.4463173749689775,0.008,0.9999999999999992,0.4463173749689775,0.0028185003005044974,3.6032789838753266e-07,4.5040987298441545e-05,2.0102575217051503e-05,1.2694803623567684e-07,0.0028185003005044974,1000
0.465,0.4625,0.4675,0.013,1.171065669759481e-06,0.00014413115935501294,5.077921449427069e-05,3.2283856313878585e-07,1.5999999999999985,0.5637000601008989,0.013,1.5999999999999985,0.5637000601008989,0.0035838308894036615,5.855328348797405e-07,7.206557967750647e-05,2.5389607247135345e-05,1.6141928156939292e-07,0.0035838308894036615,1000
0.4675,0.465,0.47,0.016,1.4413115935501306e-06,0.0002702459237906523,6.928654309527089e-05,3.576125025060264e-07,3.000000000000031,0.7691499149006021,0.016,3.000000000000031,0.7691499149006021,0.003969856390319399,7.206557967750653e-07,0.00013512296189532614,3.4643271547635445e-05,1.788062512530132e-07,0.003969856390319399,1000
0.47,0.4675,0.4725,0.028,2.5222952887127285e-06,0.0004864426628231741,9.238967749347549e-05,4.7018341000000723e-07,5.400000000000055,1.0256178098550714,0.028,5.400000000000055,1.0256178098550714,0.00521950603441008,1.2611476443563642e-06,0.00024322133141158704,4.6194838746737745e-05,2.3509170500000361e-07,0.00521950603441008,1000
0.4725,0.47,0.475,0.043,3.8735249076659755e-06,0.00048644266282316865,9.238967749347449e-05,5.781564165210107e-07,5.399999999999995,1.0256178098550603,0.043,5.399999999999995,1.0256178098550603,0.006418114379799739,1.9367624538329878e-06,0.00024322133141158433,4.6194838746737244e-05,2.8907820826050536e-07,0.006418114379799739,1000
0.475,0.4725,0.4775,0.055,4.954508602828574e-06,0.0004864426628231688,9.238967749347449e-05,6.497591473416089e-07,5.399999999999997,1.0256178098550603,0.055,5.399999999999997,1.0256178098550603,0.0072129762946392,2.477254301414287e-06,0.0002432213314115844,4.6194838746737244e-05,3.2487957367080443e-07,0.0072129762946392,1000
0.4775,0.475,0.48,0.07,6.305738221781822e-06,0.0007026394018556881,0.00011035173005001576,7.271862317199824e-07,7.799999999999994,1.225014555285225,0.07,7.799999999999994,1.225014555285225,0.008072494358323525,3.152869110890911e-06,0.00035131970092784403,5.517586502500788e-05,3.635931158599912e-07,0.008072494358323525,1000
0.48,0.4775,0.4825,0.094,8.467705612107018e-06,0.0010089181154850904,0.00013105848989635336,8.317315557866564e-07,11.199999999999989,1.4548802963394185,0.094,11.199999999999989,1.4548802963394185,0.009233052000787672,4.233852806053509e-06,0.0005044590577425452,6.552924494817668e-05,4.158657778933282e-07,0.009233052000787672,1000
0.4825,0.48,0.485,0.126,1.1350328799207279e-05,0.0012070984595982334,0.00014251591718183166,9.457931017392995e-07,13.39999999999999,1.5820691966355132,0.126,13.39999999999999,1.5820691966355132,0.010499249222407964,5.675164399603639e-06,0.0006035492297991167,7.125795859091583e-05,4.7289655086964977e-07,0.010499249222407964,1000
0.485,0.4825,0.4875,0.161,1.450319791009819e-05,0.0013512296189532465,0.00015013662432813846,1.0474880368189588e-06,14.99999999999999,1.6666666666666652,0.161,14.99999999999999,1.6666666666666652,0.011628164696727263,7.251598955049095e-06,0.0006756148094766233,7.506831216406923e-05,5.237440184094794e-07,0.011628164696727263,1000
0.4875,0.485,0.49,0.201,1.8106476893973515e-05,0.001747590307179532,0.00016869992565080722,1.1421590140183114e-06,19.399999999999984,1.8727378746496108,0.201,19.399999999999984,1.8727378746496108,0.012679107214617274,9.053238446986758e-06,0.000873795153589766,8.434996282540361e-05,5.710795070091557e-07,0.012679107214617274,1000
0.49,0.4875,0.4925,0.258,2.3241149445995858e-05,0.0019457706512926746,0.0001769210278595748,1.247001451099595e-06,21.59999999999998,1.96400033026914,0.258,21.59999999999998,1.96400033026914,0.013842963108656603,1.1620574722997929e-05,0.0009728853256463373,8.84605139297874e-05,6.235007255497975e-07,0.013842963108656603,1000
0.4925,0.49,0.495,0.309,2.7835330150436897e-05,0.0020899018106476873,0.0001825325311009263,1.3169625238452704e-06,23.199999999999978,2.0262936277513828,0.309,23.199999999999978,2.0262936277513828,0.014619600977206347,1.3917665075218448e-05,0.0010449509053238437,9.126626555046315e-05,6.584812619226352e-07,0.014619600977206347,1000
0.495,0.4925,0.4975,0.374,3.3690658499234305e-05,0.0021799837852445707,0.00018589695308433783,1.3790439932444381e-06,24.199999999999978,2.0636420761892342,0.374,24.199999999999978,2.0636420761892342,0.015308767369006507,1.6845329249617152e-05,0.0010899918926222853,9.294847654216892e-05,6.895219966222191e-07,0.015308767369006507,1000
0.4975,0.495,0.5,0.43,3.873524907665976e-05,0.0023781641293577137,0.00019294431066620943,1.4109993343081894e-06,26.399999999999977,2.141874792705591,0.43,26.399999999999977,2.141874792705591,0.01566350361015521,1.936762453832988e-05,0.0011890820646788568,9.647215533310472e-05,7.054996671540947e-07,0.01566350361015521,1000
0.5,0.4975,0.5025,0.506,4.558147914602288e-05,0.002468246103954624,0.00019599763470558185,1.4249311682377112e-06,27.40000000000028,2.175769742866664,0.506,27.40000000000028,2.175769742866664,0.015818160898606833,2.279073957301144e-05,0.001234123051977312,9.799881735279092e-05,7.124655841188556e-07,0.015818160898606833,1000
0.5025,0.5,0.505,0.567,5.107647959643275e-05,0.0022520493649220773,0.00018851424884166676,1.4121818675958252e-06,24.99999999999998,2.0926966763913426,0.567,24.99999999999998,2.0926966763913426,0.015676630912181255,2.5538239798216374e-05,0.0011260246824610386,9.425712442083338e-05,7.060909337979126e-07,0.015676630912181255,1000
0.505,0.5025,0.5075,0.631,5.684172597063328e-05,0.0022340329700027005,0.00018786593770550155,1.3752543139496245e-06,24.79999999999998,2.0854997744687727,0.631,24.79999999999998,2.0854997744687727,0.015266698139154782,2.842086298531664e-05,0.0011170164850013503,9.393296885275077e-05,6.876271569748122e-07,0.015266698139154782,1000
0.5075,0.505,0.51,0.691,6.224664444644627e-05,0.0019998198360508044,0.0001790595623922837,1.3169625238452702e-06,22.19999999999998,1.9877402021167412,0.691,22.19999999999998,1.9877402021167412,0.014619600977206345,3.1123322223223134e-05,0.0009999099180254022,8.952978119614185e-05,6.584812619226351e-07,0.014619600977206345,1000
0.51,0.5075,0.5125,0.742,6.68408251508873e-05,0.0016214755427438957,0.00016312746968500977,1.247001451099595e-06,17.999999999999986,1.8108780409732934,0.742,17.999999999999986,1.8108780409732934,0.013842963108656603,3.342041257544365e-05,0.0008107377713719478,8.156373484250488e-05,6.235007255497975e-07,0.013842963108656603,1000
0.5125,0.51,0.515,0.781,7.035402216016575e-05,0.0013332132240338698,0.0001492129450086315,1.1786984911505372e-06,14.799999999999988,1.6564129025408183,0.781,14.799999999999988,1.6564129025408183,0.013084731950262114,3.5177011080082875e-05,0.0006666066120169349,7.460647250431575e-05,5.893492455752686e-07,0.013084731950262114,1000
0.515,0.5125,0.5175,0.816,7.350689127105666e-05,0.0014232951986307527,0.00015375473873224688,1.1043561247580075e-06,15.799999999999986,1.7068313546666725,0.816,15.799999999999986,1.7068313546666725,0.012259457340938642,3.675344563552833e-05,0.0007116475993153763,7.687736936612344e-05,5.521780623790038e-07,0.012259457340938642,1000
