p,p_low,p_high,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_dp_stderr,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_dp_stderr,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_dp_stderr,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_dp_stderr,exact_x_class_norm_stderr,exact_x_class_stderr,runs
0.4,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
0.45,0.4,0.47,0.0,0.0,6.20039682539683e-07,6.20039682539683e-07,0.0,0.002857142857142859,0.002857142857142859,0.0,0.00023809523809523823,0.00023809523809523823,0.0,0.0,3.100198412698415e-07,3.100198412698415e-07,0.0,0.0,5000
0.47,0.45,0.485,0.0002,4.340277777777778e-08,0.0019444444444444457,0.00014882582908751446,4.340277777777777e-08,8.960000000000006,0.6857894204352667,1.6666666666666667e-05,0.7466666666666671,0.05714911836960556,1.6666666666666664e-05,2.170138888888889e-08,0.0009722222222222228,7.441291454375723e-05,2.1701388888888887e-08,0.00019999999999999998,5000
0.485,0.47,0.4925,0.3136,6.805555555555555e-05,0.019855324074074057,0.0005600607192990611,5.2089040180630025e-06,91.49333333333325,2.5807597945300738,0.02613333333333333,7.624444444444438,0.2150633162108395,0.002000219142936193,3.4027777777777775e-05,0.009927662037037028,0.00028003035964953055,2.6044520090315012e-06,0.024002629715234314,5000
0.4925,0.485,0.495,2.0588,0.0004467881944444445,0.0622352430555555,0.0014062004980055101,1.2602777784586593e-05,286.77999999999975,6.4797718948093905,0.17156666666666667,23.898333333333312,0.5399809912341159,0.004839466669281252,0.00022339409722222224,0.03111762152777775,0.0007031002490027551,6.3013888922932965e-06,0.05807360003137502,5000
0.495,0.4925,0.4975,3.1814,0.0006904079861111111,0.10694444444444436,0.002370482107252296,1.4923621829455336e-05,492.7999999999996,10.923181550218581,0.26511666666666667,41.066666666666634,0.9102651291848818,0.005730670782510849,0.0003452039930555556,0.05347222222222218,0.001185241053626148,7.461810914727668e-06,0.06876804939013019,5000
0.4975,0.495,0.5,4.5228,0.0009815104166666668,0.12184895833333322,0.0024757972478319334,1.6454298465225315e-05,561.4799999999994,11.40847371800955,0.3769,46.78999999999996,0.9507061431674625,0.00631845061064652,0.0004907552083333334,0.06092447916666661,0.0012378986239159667,8.227149232612657e-06,0.07582140732775824,5000
0.5,0.4975,0.5025,5.9888,0.0012996527777777778,0.12774305555555687,0.0025019054228494876,1.7025518830951275e-05,588.640000000006,11.528780188490439,0.4990666666666667,49.05333333333383,0.9607316823742033,0.00653779923108529,0.0006498263888888889,0.06387152777777844,0.0012509527114247438,8.512759415475638e-06,0.07845359077302348,5000
0.5025,0.5,0.505,7.466,0.0016202256944444445,0.1223003472222221,0.0024788013705002773,1.6467394270949602e-05,563.5599999999995,11.422316715265277,0.6221666666666666,46.96333333333329,0.9518597262721064,0.006323479400044647,0.0008101128472222223,0.06115017361111105,0.0012394006852501386,8.233697135474801e-06,0.07588175280053576,5000
0.505,0.5025,0.5075,8.8066,0.0019111545138888889,0.10773437499999991,0.0023741180757519287,1.4942012882889778e-05,496.4399999999996,10.939936093064887,0.7338833333333333,41.36999999999997,0.9116613410887405,0.005737732947029675,0.0009555772569444444,0.053867187499999955,0.0011870590378759644,7.471006441444889e-06,0.0688527953643561,5000
0.5075,0.505,0.515,9.9482,0.0021588975694444446,0.0629166666666666,0.0014116672842962872,1.2545151732114113e-05,289.91999999999973,6.504962846037292,0.8290166666666666,24.15999999999998,0.5420802371697743,0.004817338265131819,0.0010794487847222223,0.0314583333333333,0.0007058336421481436,6.272575866057056e-06,0.057808059181581835,5000
0.515,0.5075,0.53,11.7058,0.0025403211805555556,0.019787808641975244,0.0005574992264617452,4.982984430616939e-06,91.18222222222192,2.568956435535722,0.9754833333333334,7.598518518518493,0.21407970296131018,0.0019134660213569047,0.0012701605902777778,0.009893904320987622,0.0002787496132308726,2.4914922153084695e-06,0.022961592256282855,5000
0.53,0.515,0.55,11.9998,0.002604123263888889,0.0018241567460317446,0.0001423709837319124,4.340277777777778e-08,8.405714285714279,0.6560454930366524,0.9999833333333333,0.7004761904761899,0.05467045775305437,1.6666666666666667e-05,0.0013020616319444444,0.0009120783730158723,7.11854918659562e-05,2.170138888888889e-08,0.0002,5000
0.55,0.53,0.6,12.0,0.0026041666666666665,6.20039682539683e-07,6.20039682539683e-07,0.0,0.002857142857142859,0.002857142857142859,1.0,0.00023809523809523823,0.00023809523809523823,0.0,0.0013020833333333333,3.100198412698415e-07,3.100198412698415e-07,0.0,0.0,5000
0.6,0.55,0.6,12.0,0.0026041666666666665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0013020833333333333,0.0,0.0,0.0,0.0,5000
