p,p_low,p_high,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_dp_stderr,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_dp_stderr,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_dp_stderr,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_dp_stderr,exact_x_class_norm_stderr,exact_x_class_stderr,runs
0.4,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
0.45,0.4,0.47,0.0,0.0,4.4149135780667116e-07,1.6676787746800744e-07,0.0,0.02000000000000001,0.0075547516171782046,0.0,0.02000000000000001,0.0075547516171782046,0.0,0.0,2.2074567890333558e-07,8.338393873400372e-08,0.0,0.0,5000
0.47,0.45,0.485,0.0014,3.0904395046466964e-08,3.632843172809181e-05,2.0783155102904567e-06,1.1673751422760508e-08,1.645714285714287,0.09414977093166799,0.0014,1.645714285714287,0.09414977093166799,0.0005288326132024737,1.5452197523233482e-08,1.8164215864045905e-05,1.0391577551452284e-06,5.836875711380254e-09,0.0005288326132024737,5000
0.485,0.47,0.4925,0.0576,1.2714951104832123e-06,0.00020583308192853223,5.649882021185311e-06,7.274104286016594e-08,9.324444444444438,0.2559453054417158,0.0576,9.324444444444438,0.2559453054417158,0.003295241982608377,6.357475552416061e-07,0.00010291654096426611,2.8249410105926556e-06,3.637052143008297e-08,0.003295241982608377,5000
0.4925,0.485,0.495,0.2112,4.662148738438445e-06,0.000529348138010198,1.3330276711870065e-05,1.2743274860693123e-07,23.97999999999998,0.6038748653244258,0.2112,23.97999999999998,0.6038748653244258,0.005772830944642591,2.3310743692192224e-06,0.000264674069005099,6.665138355935032e-06,6.371637430346561e-08,0.005772830944642591,5000
0.495,0.4925,0.4975,0.2974,6.564976490585197e-06,0.0008255888390984738,2.4347070559872546e-05,1.4271683223231426e-07,37.39999999999996,1.1029466434327861,0.2974,37.39999999999996,1.1029466434327861,0.006465215216956068,3.2824882452925986e-06,0.0004127944195492369,1.2173535279936273e-05,7.135841611615713e-08,0.006465215216956068,5000
0.4975,0.495,0.5,0.3982,8.790092933930818e-06,0.0008891635946226345,2.5042346727690896e-05,1.5283659801955204e-07,40.279999999999966,1.1344433491111252,0.3982,40.279999999999966,1.1344433491111252,0.006923650726883727,4.395046466965409e-06,0.0004445817973113173,1.2521173363845448e-05,7.641829900977602e-08,0.006923650726883727,5000
0.5,0.4975,0.5025,0.4988,1.1010794463698373e-05,0.0009324297476876985,2.5486549721386507e-05,1.5610592830155978e-07,42.24000000000043,1.1545661889285301,0.4988,42.24000000000043,1.1545661889285301,0.00707175465798896,5.505397231849187e-06,0.00046621487384384923,1.2743274860693254e-05,7.805296415077989e-08,0.00707175465798896,5000
0.5025,0.5,0.505,0.6094,1.3452241672369265e-05,0.0008988764044943812,2.514404532156435e-05,1.5232387772492292e-07,40.71999999999996,1.1390503971121866,0.6094,40.71999999999996,1.1390503971121866,0.0069004239848167335,6.7261208361846325e-06,0.0004494382022471906,1.2572022660782175e-05,7.616193886246146e-08,0.0069004239848167335,5000
0.505,0.5025,0.5075,0.7024,1.5505176486170284e-05,0.0007681949625836069,2.367256327745733e-05,1.427444913950132e-07,34.799999999999976,1.0723907890320945,0.7024,34.799999999999976,1.0723907890320945,0.006466468204685494,7.752588243085142e-06,0.00038409748129180347,1.1836281638728665e-05,7.13722456975066e-08,0.006466468204685494,5000
0.5075,0.505,0.515,0.7834,1.72932164852873e-05,0.0005319970861570381,1.3353036984150355e-05,1.286090861772563e-07,24.099999999999984,0.6049059284189953,0.7834,24.099999999999984,0.6049059284189953,0.005826120212915888,8.64660824264365e-06,0.00026599854307851904,6.676518492075178e-06,6.430454308862816e-08,0.005826120212915888,5000
0.515,0.5075,0.53,0.9434,2.082514734774067e-05,0.0002109347598409643,5.700621190656658e-06,7.214509243621971e-08,9.555555555555523,0.25824384055793725,0.9434,9.555555555555523,0.25824384055793725,0.003268244832453189,1.0412573673870335e-05,0.00010546737992048214,2.850310595328329e-06,3.6072546218109855e-08,0.003268244832453189,5000
0.53,0.515,0.55,0.9984,2.2039248581709013e-05,3.569772978836793e-05,2.0612883553205607e-06,1.247851542337764e-08,1.6171428571428554,0.09337842378437672,0.9984,1.6171428571428554,0.09337842378437672,0.0005652892271944304,1.1019624290854506e-05,1.7848864894183964e-05,1.0306441776602804e-06,6.23925771168882e-09,0.0005652892271944304,5000
0.55,0.53,0.6,1.0,2.2074567890333546e-05,5.045615517790528e-07,1.782645060482521e-07,0.0,0.02285714285714287,0.008075560388491868,1.0,0.02285714285714287,0.008075560388491868,0.0,1.1037283945166773e-05,2.522807758895264e-07,8.913225302412605e-08,0.0,0.0,5000
0.6,0.55,0.6,1.0,2.2074567890333546e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1037283945166773e-05,0.0,0.0,0.0,0.0,5000
