p,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_stderr,exact_x_class_stderr,runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
0.3,0.0,0.0,0.00013168724279835395,0.0,0.2666666666666668,0.0,0.003292181069958849,0.0,0.0,6.584362139917697e-05,0.0,0.0,200
0.35,0.02,9.876543209876543e-06,0.0003292181069958845,4.900907096353926e-06,0.6666666666666662,0.0002469135802469136,0.008230452674897113,0.00012252267740884814,4.938271604938272e-06,0.00016460905349794224,2.450453548176963e-06,0.0099243368701167,200
0.375,0.04,1.9753086419753087e-05,0.0005432098765432093,6.859840950201277e-06,1.099999999999999,0.0004938271604938272,0.013580246913580233,0.00017149602375503192,9.876543209876543e-06,0.00027160493827160467,3.4299204751006383e-06,0.013891177924157585,200
0.4,0.075,3.7037037037037037e-05,0.0016131687242798359,9.862574649591908e-06,3.2666666666666675,0.0009259259259259259,0.04032921810699589,0.0002465643662397977,1.8518518518518518e-05,0.0008065843621399179,4.931287324795954e-06,0.019971713665423614,200
0.45,0.425,0.00020987654320987653,0.049753086419753206,2.6988497135817406e-05,100.75000000000023,0.005246913580246914,1.24382716049383,0.0006747124283954351,0.00010493827160493826,0.024876543209876603,1.3494248567908703e-05,0.05465170670003024,200
0.47,3.19,0.0015753086419753087,0.27156378600823006,0.00023269146714517027,549.9166666666658,0.03938271604938272,6.789094650205752,0.005817286678629257,0.0007876543209876544,0.13578189300411503,0.00011634573357258513,0.4712002209689698,200
0.485,16.07,0.007935802469135802,0.7275720164609045,0.0005579829647299213,1473.3333333333317,0.19839506172839508,18.189300411522616,0.013949574118248034,0.003967901234567901,0.36378600823045226,0.00027899148236496066,1.1299155035780908,200
0.4925,29.425,0.014530864197530864,0.64872427983539,0.0006344912294604125,1313.6666666666642,0.3632716049382716,16.21810699588474,0.01586228073651031,0.007265432098765432,0.324362139917695,0.00031724561473020626,1.2848447396573353,200
0.495,32.32,0.015960493827160496,0.8414814814814804,0.000632879581638127,1703.9999999999982,0.39901234567901234,21.037037037037024,0.015821989540953176,0.007980246913580248,0.4207407407407402,0.0003164397908190635,1.2815811528172072,200
0.4975,37.945,0.01873827160493827,0.742222222222221,0.0006641108095556205,1502.999999999999,0.4684567901234568,18.555555555555543,0.016602770238890514,0.009369135802469135,0.3711111111111105,0.0003320554047778103,1.3448243893501317,200
0.5,39.835,0.019671604938271605,0.7629629629629799,0.0006594962180214209,1545.0000000000346,0.49179012345679013,19.074074074074503,0.016487405450535522,0.009835802469135803,0.38148148148148997,0.00032974810901071044,1.3354798414933773,200
0.5025,45.67,0.022553086419753086,0.942222222222231,0.0006732548714465459,1908.0000000000173,0.5638271604938272,23.555555555555785,0.016831371786163646,0.011276543209876543,0.4711111111111155,0.00033662743572327293,1.3633411146792553,200
0.505,49.375,0.024382716049382715,0.9120987654321064,0.0006266593686569395,1847.0000000000146,0.6095679012345679,22.802469135802625,0.015666484216423488,0.012191358024691358,0.4560493827160532,0.00031332968432846975,1.2689852215303026,200
0.5075,54.905,0.02711358024691358,0.9593415637860276,0.0005844781988043531,1942.666666666703,0.6778395061728395,23.983539094650666,0.014611954970108827,0.01355679012345679,0.4796707818930138,0.00029223909940217656,1.183568352578815,200
0.515,63.415,0.03131604938271605,0.5257613168724243,0.0005532715905585808,1064.6666666666595,0.7829012345679012,13.144032921810616,0.01383178976396452,0.015658024691358026,0.26288065843621217,0.0002766357952792904,1.1203749708811261,200
0.53,77.285,0.03816543209876543,0.2958495002939444,0.00023802803524017194,599.0952380952376,0.9541358024691358,7.396237507348614,0.005950700881004299,0.019082716049382716,0.1479247501469722,0.00011901401762008597,0.4820067713613482,200
0.55,80.585,0.03979506172839506,0.05920282186948847,2.9136980127006107e-05,119.88571428571436,0.9948765432098765,1.4800705467372133,0.0007284245031751527,0.01989753086419753,0.029601410934744235,1.4568490063503053e-05,0.059002384757187366,200
0.6,80.94,0.03997037037037037,0.001497942386830875,9.02053869713311e-06,3.0333333333328483,0.9992592592592592,0.03744855967078209,0.00022551346742832775,0.019985185185185186,0.0007489711934154375,4.510269348566555e-06,0.018266590861694548,200
0.625,80.965,0.039982716049382715,0.00034567901234561216,6.433482339105212e-06,0.6999999999998181,0.999567901234568,0.008641975308641747,0.0001608370584776303,0.019991358024691357,0.00017283950617280608,3.216741169552606e-06,0.013027801736688055,200
0.65,80.975,0.03998765432098765,0.00021399176954756127,5.4653848226904975e-06,0.43333333333362134,0.9996913580246913,0.005349794238682648,0.00013663462056726243,0.019993827160493825,0.00010699588477378064,2.7326924113452487e-06,0.011067404265948258,200
0.7,81.0,0.04,0.00016460905349802157,0.0,0.3333333333334281,1.0,0.004115226337449318,0.0,0.02,8.230452674901079e-05,0.0,0.0,200
0.8,81.0,0.04,-2.7755575615628914e-17,0.0,-5.684341886080802e-14,1.0,0.0,0.0,0.02,-1.3877787807814457e-17,0.0,0.0,200
0.9,81.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,200
1.0,81.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,200
