p,p_low,p_high,exact_x_class_component_norm_dp,exact_x_class_component_norm_dp_stderr,exact_x_class_dp,exact_x_class_dp_stderr,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_dp_stderr,exact_x_class_norm_dp,exact_x_class_norm_dp_stderr,runs
0.4,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
0.45,0.4,0.47,2.5396825396825414e-05,1.791308935579167e-05,0.5714285714285718,0.4030445105053126,0.0006349206349206354,0.00044782723389479175,1.2698412698412707e-05,8.956544677895835e-06,200
0.47,0.45,0.485,0.19990476190476203,0.0052904028265651345,4497.857142857146,119.03406359771553,4.997619047619051,0.13226007066412837,0.09995238095238101,0.0026452014132825673,200
0.485,0.47,0.4925,0.5963358024691353,0.008344867963399344,13417.555555555544,187.75952917648522,14.908395061728383,0.20862169908498357,0.29816790123456766,0.004172433981699672,200
0.4925,0.485,0.495,0.8554444444444437,0.004680173747240723,19247.49999999998,105.30390931291626,21.38611111111109,0.11700434368101807,0.42772222222222184,0.0023400868736203613,200
0.495,0.4925,0.4975,0.8544444444444437,0.006526480679427202,19224.99999999998,146.84581528711206,21.36111111111109,0.16316201698568006,0.42722222222222184,0.003263240339713601,200
0.4975,0.495,0.5,0.8567111111111103,0.006521192622741991,19275.99999999998,146.7268340116948,21.417777777777758,0.16302981556854976,0.42835555555555516,0.0032605963113709955,200
0.5,0.4975,0.5025,0.8591111111111198,0.006468984256051686,19330.000000000196,145.55214576116293,21.477777777777995,0.16172460640129216,0.4295555555555599,0.003234492128025843,200
0.5025,0.5,0.505,0.8534666666666658,0.006312648344959268,19202.99999999998,142.03458776158354,21.336666666666645,0.1578162086239817,0.4267333333333329,0.003156324172479634,200
0.505,0.5025,0.5075,0.8564444444444437,0.0068849433055303486,19269.99999999998,154.91122437443283,21.41111111111109,0.1721235826382587,0.42822222222222184,0.0034424716527651743,200
0.5075,0.505,0.515,0.8680666666666657,0.004097887495790884,19531.499999999978,92.2024686552949,21.701666666666643,0.1024471873947721,0.4340333333333328,0.002048943747895442,200
0.515,0.5075,0.53,0.6090469135802449,0.008310937600307782,13703.55555555551,186.9960960069251,15.226172839506122,0.20777344000769454,0.30452345679012244,0.004155468800153891,200
0.53,0.515,0.55,0.2062095238095236,0.005439001449041404,4639.714285714281,122.37753260343159,5.15523809523809,0.1359750362260351,0.1031047619047618,0.002719500724520702,200
0.55,0.53,0.6,0.00038730158730158757,0.000255906696585114,8.71428571428572,5.757900673165064,0.00968253968253969,0.0063976674146278495,0.00019365079365079378,0.000127953348292557,200
0.6,0.55,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
