p,p_low,p_high,exact_x_class_component_norm_dp,exact_x_class_component_norm_dp_stderr,exact_x_class_dp,exact_x_class_dp_stderr,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_dp_stderr,exact_x_class_norm_dp,exact_x_class_norm_dp_stderr,runs
0.4,0.4,0.45,0.003308641975308643,0.0005569331721174751,6.700000000000002,1.1277896735378872,0.08271604938271607,0.013923329302936879,0.0016543209876543215,0.00027846658605873756,200
0.45,0.4,0.47,0.028783068783068803,0.0036957347779938915,58.28571428571433,7.483862925437631,0.7195767195767201,0.09239336944984729,0.014391534391534401,0.0018478673889969458,200
0.47,0.45,0.485,0.24846560846560867,0.01545238754373613,503.14285714285757,31.291084776065663,6.2116402116402165,0.38630968859340326,0.12423280423280433,0.007726193771868065,200
0.485,0.47,0.4925,0.5431001371742107,0.021205751971017983,1099.7777777777767,42.941647741311414,13.577503429355268,0.5301437992754495,0.27155006858710534,0.010602875985508992,200
0.4925,0.485,0.495,0.7444444444444439,0.019959641857391925,1507.4999999999989,40.41827476121865,18.611111111111097,0.49899104643479814,0.37222222222222195,0.009979820928695963,200
0.495,0.4925,0.4975,0.8291358024691352,0.023050085316441055,1678.9999999999989,46.676422765793134,20.72839506172838,0.5762521329110264,0.4145679012345676,0.011525042658220528,200
0.4975,0.495,0.5,0.8429629629629624,0.0219608398259306,1706.9999999999989,44.47070064750947,21.07407407407406,0.549020995648265,0.4214814814814812,0.0109804199129653,200
0.5,0.4975,0.5025,0.8316049382716136,0.020926263109340537,1684.0000000000175,42.37568279641459,20.79012345679034,0.5231565777335134,0.4158024691358068,0.010463131554670269,200
0.5025,0.5,0.505,0.7999999999999995,0.02295528356975448,1619.9999999999989,46.48444922875282,19.999999999999986,0.573882089243862,0.39999999999999974,0.01147764178487724,200
0.505,0.5025,0.5075,0.80395061728395,0.0245349222689402,1627.9999999999989,49.6832175946039,20.09876543209875,0.613373056723505,0.401975308641975,0.0122674611344701,200
0.5075,0.505,0.515,0.7066666666666661,0.021383744461105948,1430.9999999999989,43.302082533739544,17.666666666666654,0.5345936115276487,0.35333333333333306,0.010691872230552974,200
0.515,0.5075,0.53,0.5131412894375841,0.02219003790778262,1039.1111111111077,44.93482676325981,12.828532235939601,0.5547509476945656,0.25657064471879204,0.01109501895389131,200
0.53,0.515,0.55,0.23449735449735426,0.015143000928591433,474.8571428571424,30.664576880397654,5.862433862433856,0.37857502321478587,0.11724867724867713,0.0075715004642957166,200
0.55,0.53,0.6,0.025749559082892434,0.0030278322878772427,52.14285714285718,6.131360382951416,0.6437389770723109,0.07569580719693106,0.012874779541446217,0.0015139161439386214,200
0.6,0.55,0.6,0.0022222222222222253,0.00036673359747889963,4.500000000000006,0.7426355348947717,0.055555555555555636,0.00916833993697249,0.0011111111111111126,0.00018336679873944982,200
