p,exact_class_total,exact_class_total_dp,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_stderr,exact_class_total_stderr,exact_error_total,exact_error_total_dp,exact_error_total_norm,exact_error_total_norm_dp,exact_error_total_norm_stderr,exact_error_total_stderr,exact_saved_by_stabilizers_total,exact_saved_by_stabilizers_total_dp,exact_saved_by_stabilizers_total_norm,exact_saved_by_stabilizers_total_norm_dp,exact_saved_by_stabilizers_total_norm_stderr,exact_saved_by_stabilizers_total_stderr,exact_stabilizer_total,exact_stabilizer_total_dp,exact_stabilizer_total_norm,exact_stabilizer_total_norm_dp,exact_stabilizer_total_norm_stderr,exact_stabilizer_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_stderr,exact_x_class_stderr,exact_x_error,exact_x_error_component_norm,exact_x_error_component_norm_dp,exact_x_error_component_norm_stderr,exact_x_error_dp,exact_x_error_norm,exact_x_error_norm_dp,exact_x_error_norm_stderr,exact_x_error_stderr,exact_x_saved_by_stabilizers,exact_x_saved_by_stabilizers_component_norm,exact_x_saved_by_stabilizers_component_norm_dp,exact_x_saved_by_stabilizers_component_norm_stderr,exact_x_saved_by_stabilizers_dp,exact_x_saved_by_stabilizers_norm,exact_x_saved_by_stabilizers_norm_dp,exact_x_saved_by_stabilizers_norm_stderr,exact_x_saved_by_stabilizers_stderr,exact_x_stabilizer,exact_x_stabilizer_component_norm,exact_x_stabilizer_component_norm_dp,exact_x_stabilizer_component_norm_stderr,exact_x_stabilizer_dp,exact_x_stabilizer_norm,exact_x_stabilizer_norm_dp,exact_x_stabilizer_norm_stderr,exact_x_stabilizer_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_stderr,exact_z_class_stderr,exact_z_error,exact_z_error_component_norm,exact_z_error_component_norm_dp,exact_z_error_component_norm_stderr,exact_z_error_dp,exact_z_error_norm,exact_z_error_norm_dp,exact_z_error_norm_stderr,exact_z_error_stderr,exact_z_saved_by_stabilizers,exact_z_saved_by_stabilizers_component_norm,exact_z_saved_by_stabilizers_component_norm_dp,exact_z_saved_by_stabilizers_component_norm_stderr,exact_z_saved_by_stabilizers_dp,exact_z_saved_by_stabilizers_norm,exact_z_saved_by_stabilizers_norm_dp,exact_z_saved_by_stabilizers_norm_stderr,exact_z_saved_by_stabilizers_stderr,exact_z_stabilizer,exact_z_stabilizer_component_norm,exact_z_stabilizer_component_norm_dp,exact_z_stabilizer_component_norm_stderr,exact_z_stabilizer_dp,exact_z_stabilizer_norm,exact_z_stabilizer_norm_dp,exact_z_stabilizer_norm_stderr,exact_z_stabilizer_stderr,runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6266666666666666,0.0,0.0014177978883861235,0.0,0.0,0.0,0.6266666666666666,0.0,0.0014177978883861235,0.0,0.0,0.0,0.6266666666666666,0.0,0.0014177978883861235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014479638009049773,0.0,0.32,0.0,0.0007239819004524887,0.0,0.0,0.0,0.0,0.0014479638009049773,0.0,0.32,0.0,0.0007239819004524887,0.0,0.0,0.0,0.0,0.0014479638009049773,0.0,0.32,0.0,0.0007239819004524887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013876319758672697,0.0,0.30666666666666664,0.0,0.0006938159879336348,0.0,0.0,0.0,0.0,0.0013876319758672697,0.0,0.30666666666666664,0.0,0.0006938159879336348,0.0,0.0,0.0,0.0,0.0013876319758672697,0.0,0.30666666666666664,0.0,0.0006938159879336348,0.0,0.0,1500
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06266666666666666,3.4066666666666663,0.00014177978883861235,0.007707390648567117,1.4944674039405585e-05,0.006605545925417269,0.06266666666666666,3.4066666666666663,0.00014177978883861235,0.007707390648567117,1.4944674039405585e-05,0.006605545925417269,0.06266666666666666,3.4066666666666663,0.00014177978883861235,0.007707390648567117,1.4944674039405585e-05,0.006605545925417269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.00014479638009049775,0.007586726998491703,2.185707185573056e-05,1.6766666666666663,7.239819004524887e-05,0.0037933634992458514,1.092853592786528e-05,0.004830412880116454,0.032,0.00014479638009049775,0.007586726998491703,2.185707185573056e-05,1.6766666666666663,7.239819004524887e-05,0.0037933634992458514,1.092853592786528e-05,0.004830412880116454,0.032,0.00014479638009049775,0.007586726998491703,2.185707185573056e-05,1.6766666666666663,7.239819004524887e-05,0.0037933634992458514,1.092853592786528e-05,0.004830412880116454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030666666666666665,0.00013876319758672698,0.007828054298642532,2.015007977810863e-05,1.7299999999999995,6.938159879336349e-05,0.003914027149321266,1.0075039889054315e-05,0.0044531676309620075,0.030666666666666665,0.00013876319758672698,0.007828054298642532,2.015007977810863e-05,1.7299999999999995,6.938159879336349e-05,0.003914027149321266,1.0075039889054315e-05,0.0044531676309620075,0.030666666666666665,0.00013876319758672698,0.007828054298642532,2.015007977810863e-05,1.7299999999999995,6.938159879336349e-05,0.003914027149321266,1.0075039889054315e-05,0.0044531676309620075,1500
0.2,0.0,0.026666666666666675,0.0,0.013333333333333338,0.0,0.0,6.033182503770741e-05,0.0,0.0,0.6813333333333333,12.791111111111114,0.0015414781297134238,0.028939165409753654,5.08462307046494e-05,0.022474033971455035,0.6813333333333333,12.764444444444447,0.0015414781297134238,0.028878833584715945,5.08462307046494e-05,0.022474033971455035,0.6813333333333333,12.764444444444447,0.0015414781297134238,0.028878833584715945,5.08462307046494e-05,0.022474033971455035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3353333333333333,0.0015173453996983409,0.030115635997988947,6.709166856205436e-05,6.6555555555555586,0.0007586726998491704,0.015057817998994473,3.354583428102718e-05,0.014827258752214014,0.3353333333333333,0.0015173453996983409,0.030115635997988947,6.709166856205436e-05,6.6555555555555586,0.0007586726998491704,0.015057817998994473,3.354583428102718e-05,0.014827258752214014,0.3353333333333333,0.0015173453996983409,0.030115635997988947,6.709166856205436e-05,6.6555555555555586,0.0007586726998491704,0.015057817998994473,3.354583428102718e-05,0.014827258752214014,0.0,0.0,0.00012066365007541482,0.0,0.026666666666666675,0.0,0.026666666666666675,0.0,0.0,6.033182503770741e-05,0.0,0.0,0.346,0.0015656108597285068,0.027762694821518358,6.797475305201191e-05,6.135555555555558,0.0007828054298642534,0.013881347410759179,3.3987376526005956e-05,0.015022420424494632,0.346,0.0015656108597285068,0.02764203117144294,6.797475305201191e-05,6.108888888888891,0.0007828054298642534,0.01382101558572147,3.3987376526005956e-05,0.015022420424494632,0.346,0.0015656108597285068,0.02764203117144294,6.797475305201191e-05,6.108888888888891,0.0007828054298642534,0.01382101558572147,3.3987376526005956e-05,0.015022420424494632,1500
0.25,0.002,0.013333333333333338,0.001,0.006666666666666669,0.0005769649836817916,4.5248868778280546e-06,3.0165912518853706e-05,2.6107012836280164e-06,0.0011539299673635833,1.486,24.706666666666678,0.0033619909502262445,0.05589743589743592,8.447529017823305e-05,0.03733807825877901,1.484,24.69333333333334,0.0033574660633484163,0.05586726998491707,8.409594826422945e-05,0.03717040913278942,1.484,24.69333333333334,0.0033574660633484163,0.05586726998491707,8.409594826422945e-05,0.03717040913278942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7586666666666667,0.0034328808446455507,0.05583710407239821,0.00010840851417259484,12.340000000000003,0.0017164404223227753,0.027918552036199105,5.420425708629742e-05,0.02395828163214346,0.7586666666666667,0.0034328808446455507,0.05583710407239821,0.00010840851417259484,12.340000000000003,0.0017164404223227753,0.027918552036199105,5.420425708629742e-05,0.02395828163214346,0.7586666666666667,0.0034328808446455507,0.05583710407239821,0.00010840851417259484,12.340000000000003,0.0017164404223227753,0.027918552036199105,5.420425708629742e-05,0.02395828163214346,0.002,9.049773755656109e-06,6.033182503770741e-05,5.221402567256033e-06,0.013333333333333338,0.002,0.013333333333333338,0.0011539299673635833,4.5248868778280546e-06,3.0165912518853706e-05,2.6107012836280164e-06,0.0011539299673635833,0.7273333333333334,0.0032911010558069383,0.05595776772247363,0.00010433555167432293,12.36666666666667,0.0016455505279034692,0.027978883861236814,5.2167775837161467e-05,0.023058156920025368,0.7253333333333334,0.0032820512820512823,0.05589743589743591,0.00010369464235130992,12.353333333333337,0.0016410256410256412,0.027948717948717956,5.184732117565496e-05,0.02291651595963949,0.7253333333333334,0.0032820512820512823,0.05589743589743591,0.00010369464235130992,12.353333333333337,0.0016410256410256412,0.027948717948717956,5.184732117565496e-05,0.02291651595963949,1500
0.3,0.0013333333333333333,0.2800000000000001,0.0006666666666666666,0.14000000000000004,0.0004712472548914788,3.0165912518853694e-06,0.0006334841628959278,2.1323405198709447e-06,0.0009424945097829576,3.152,44.066666666666684,0.007131221719457014,0.0996983408748115,0.000132562743069839,0.058592732436868834,3.1506666666666665,43.78666666666668,0.007128205128205128,0.09906485671191557,0.00013249923429456008,0.058564661558195556,3.1506666666666665,43.78666666666668,0.007128205128205128,0.09906485671191557,0.00013249923429456008,0.058564661558195556,0.0,0.0,0.0008748114630467575,0.0,0.1933333333333334,0.0,0.1933333333333334,0.0,0.0,0.00043740573152337874,0.0,0.0,1.5693333333333332,0.00710105580693816,0.0993665158371041,0.000160466657473253,21.960000000000008,0.00355052790346908,0.04968325791855205,8.02333287366265e-05,0.035463131301588915,1.5693333333333332,0.00710105580693816,0.09849170437405735,0.000160466657473253,21.766666666666673,0.00355052790346908,0.04924585218702868,8.02333287366265e-05,0.035463131301588915,1.5693333333333332,0.00710105580693816,0.09849170437405735,0.000160466657473253,21.766666666666673,0.00355052790346908,0.04924585218702868,8.02333287366265e-05,0.035463131301588915,0.0013333333333333333,6.033182503770739e-06,0.0003921568627450982,4.2646810397418894e-06,0.0866666666666667,0.0013333333333333333,0.0866666666666667,0.0009424945097829576,3.0165912518853694e-06,0.0001960784313725491,2.1323405198709447e-06,0.0009424945097829576,1.5826666666666667,0.007161387631975867,0.1000301659125189,0.00015832321978049543,22.106666666666676,0.0035806938159879337,0.05001508295625945,7.916160989024772e-05,0.03498943157148949,1.5813333333333333,0.007155354449472096,0.09963800904977378,0.00015810243991690412,22.020000000000007,0.003577677224736048,0.04981900452488689,7.905121995845206e-05,0.03494063922163581,1.5813333333333333,0.007155354449472096,0.09963800904977378,0.00015810243991690412,22.020000000000007,0.003577677224736048,0.04981900452488689,7.905121995845206e-05,0.03494063922163581,1500
0.35,0.03,1.1876190476190467,0.015,0.5938095238095233,0.0022529105529355965,6.78733031674208e-05,0.002686920922215037,1.0194165397898627e-05,0.004505821105871193,5.892666666666667,67.37523809523805,0.013331825037707391,0.15243266537384176,0.00018433122959595779,0.08147440348141334,5.862666666666667,66.18761904761902,0.01326395173453997,0.1497457444516268,0.00018249422820944397,0.08066244886857424,5.862666666666667,66.18761904761902,0.01326395173453997,0.1497457444516268,0.00018249422820944397,0.08066244886857424,0.019333333333333334,8.748114630467572e-05,0.0016849816849816845,1.6092406191526826e-05,0.37238095238095226,0.019333333333333334,0.37238095238095226,0.0035564217683274287,4.374057315233786e-05,0.0008424908424908423,8.046203095763413e-06,0.0035564217683274287,2.9546666666666668,0.013369532428355958,0.15422107304460225,0.00021138085543588903,34.08285714285712,0.006684766214177979,0.07711053652230113,0.00010569042771794452,0.046715169051331475,2.9353333333333333,0.013282051282051283,0.1525360913596207,0.00020973337366392113,33.710476190476186,0.0066410256410256415,0.07626804567981035,0.00010486668683196056,0.04635107557972657,2.9353333333333333,0.013282051282051283,0.1525360913596207,0.00020973337366392113,33.710476190476186,0.0066410256410256415,0.07626804567981035,0.00010486668683196056,0.04635107557972657,0.010666666666666666,4.826546003016591e-05,0.0036888601594483915,1.2005841143167592e-05,0.8152380952380944,0.010666666666666666,0.8152380952380944,0.002653290892640038,2.4132730015082955e-05,0.0018444300797241958,6.002920571583796e-06,0.002653290892640038,2.938,0.013294117647058824,0.15064425770308104,0.00021729286213860707,33.292380952380924,0.006647058823529412,0.07532212885154052,0.00010864643106930353,0.04802172253263216,2.9273333333333333,0.013245852187028657,0.14695539754363285,0.00021619730133059544,32.47714285714284,0.0066229260935143286,0.07347769877181642,0.00010809865066529772,0.04777960359406159,2.9273333333333333,0.013245852187028657,0.14695539754363285,0.00021619730133059544,32.47714285714284,0.0066229260935143286,0.07347769877181642,0.00010809865066529772,0.04777960359406159,1500
0.37,0.058666666666666666,1.7333333333333318,0.029333333333333333,0.8666666666666659,0.003247231306141465,0.00013273001508295624,0.003921568627450977,1.469335432643197e-05,0.00649446261228293,7.3406666666666665,80.2666666666666,0.016607843137254902,0.181598793363499,0.0002195233030601868,0.09702929995260257,7.282,78.53333333333325,0.016475113122171946,0.17767722473604808,0.0002165518409475718,0.09571591369882673,7.282,78.53333333333325,0.016475113122171946,0.17767722473604808,0.0002165518409475718,0.09571591369882673,0.02666666666666667,0.00012066365007541478,0.0032428355957767694,1.8828775375112867e-05,0.7166666666666661,0.02666666666666667,0.7166666666666661,0.004161159357899943,6.033182503770739e-05,0.0016214177978883847,9.414387687556434e-06,0.004161159357899943,3.687333333333333,0.016684766214177978,0.18288084464555043,0.00024630617882119967,40.41666666666664,0.008342383107088989,0.09144042232277522,0.00012315308941059983,0.05443366551948512,3.6606666666666667,0.016564102564102564,0.17963800904977362,0.00024452369923973265,39.699999999999974,0.008282051282051282,0.08981900452488681,0.00012226184961986632,0.054039737531980915,3.6606666666666667,0.016564102564102564,0.17963800904977362,0.00024452369923973265,39.699999999999974,0.008282051282051282,0.08981900452488681,0.00012226184961986632,0.054039737531980915,0.032,0.00014479638009049775,0.004600301659125184,2.0569303095811357e-05,1.016666666666666,0.032,1.016666666666666,0.00454581598417431,7.239819004524887e-05,0.002300150829562592,1.0284651547905679e-05,0.00454581598417431,3.6533333333333333,0.016530920060331824,0.1803167420814477,0.00025451305908035687,39.84999999999995,0.008265460030165912,0.09015837104072386,0.00012725652954017843,0.056247386056758865,3.6213333333333333,0.016386123680241328,0.1757164404223227,0.0002519452916289127,38.833333333333314,0.008193061840120664,0.08785822021116135,0.00012597264581445635,0.05567990944998971,3.6213333333333333,0.016386123680241328,0.1757164404223227,0.0002519452916289127,38.833333333333314,0.008193061840120664,0.08785822021116135,0.00012597264581445635,0.05567990944998971,1500
0.39,0.09933333333333333,2.7000000000000033,0.049666666666666665,1.3500000000000016,0.00397623769872356,0.00022473604826546003,0.006108597285067881,1.7992025786079455e-05,0.00795247539744712,9.103333333333333,97.4833333333334,0.02059577677224736,0.22055052790346924,0.00024392651732520998,0.10781552065774282,9.004,94.78333333333345,0.0203710407239819,0.2144419306184014,0.00023960927173984173,0.10590729810901005,9.004,94.78333333333345,0.0203710407239819,0.2144419306184014,0.00023960927173984173,0.10590729810901005,0.048,0.00021719457013574662,0.006485671191553553,2.4983081387236097e-05,1.4333333333333353,0.048,1.4333333333333353,0.005521260986579178,0.00010859728506787331,0.0032428355957767763,1.2491540693618048e-05,0.005521260986579178,4.5713333333333335,0.02068476621417798,0.21576168929110123,0.0002778053118000213,47.683333333333366,0.01034238310708899,0.10788084464555062,0.00013890265590001065,0.061394973907804705,4.523333333333333,0.020467571644042233,0.20927601809954766,0.00027452148003024305,46.250000000000014,0.010233785822021117,0.10463800904977383,0.00013726074001512152,0.06066924708668371,4.523333333333333,0.020467571644042233,0.20927601809954766,0.00027452148003024305,46.250000000000014,0.010233785822021117,0.10463800904977383,0.00013726074001512152,0.06066924708668371,0.051333333333333335,0.00023227752639517346,0.0057315233785822095,2.5790719818833976e-05,1.2666666666666684,0.051333333333333335,1.2666666666666684,0.005699749079962309,0.00011613876319758673,0.0028657616892911048,1.2895359909416988e-05,0.005699749079962309,4.532,0.02050678733031674,0.2253393665158373,0.0002758992349916698,49.800000000000026,0.01025339366515837,0.11266968325791865,0.0001379496174958349,0.060973730933159026,4.480666666666667,0.02027450980392157,0.21960784313725507,0.00027256169703072426,48.53333333333336,0.010137254901960786,0.10980392156862753,0.00013628084851536213,0.06023613504379006,4.480666666666667,0.02027450980392157,0.21960784313725507,0.00027256169703072426,48.53333333333336,0.010137254901960786,0.10980392156862753,0.00013628084851536213,0.06023613504379006,1500
0.41,0.16666666666666666,5.13333333333333,0.08333333333333333,2.566666666666665,0.005233414703296005,0.00037707390648567115,0.011613876319758666,2.3680609517176494e-05,0.01046682940659201,11.24,115.2166666666667,0.025429864253393667,0.2606711915535447,0.0002870431424511751,0.1268730689634194,11.073333333333334,110.0833333333334,0.025052790346907997,0.24905731523378594,0.0002798401888101804,0.12368936345409973,11.073333333333334,110.0833333333334,0.025052790346907997,0.24905731523378594,0.0002798401888101804,0.12368936345409973,0.084,0.0003800904977375566,0.0114630467571644,3.241860252919987e-05,2.5333333333333328,0.084,2.5333333333333328,0.007164511158953171,0.0001900452488687783,0.0057315233785822,1.6209301264599933e-05,0.007164511158953171,5.594666666666667,0.02531523378582202,0.2566365007541479,0.00031699938237791556,56.71666666666667,0.01265761689291101,0.12831825037707395,0.00015849969118895778,0.07005686350551935,5.510666666666666,0.024935143288084462,0.24517345399698343,0.00031136617142442754,54.18333333333334,0.012467571644042231,0.12258672699849171,0.00015568308571221377,0.06881192388479848,5.510666666666666,0.024935143288084462,0.24517345399698343,0.00031136617142442754,54.18333333333334,0.012467571644042231,0.12258672699849171,0.00015568308571221377,0.06881192388479848,0.08266666666666667,0.0003740573152337858,0.011764705882352932,3.21836806624934e-05,2.5999999999999983,0.08266666666666667,2.5999999999999983,0.007112593426411041,0.0001870286576168929,0.005882352941176466,1.60918403312467e-05,0.007112593426411041,5.645333333333333,0.02554449472096531,0.26470588235294135,0.00031627698042181756,58.50000000000003,0.012772247360482655,0.13235294117647067,0.00015813849021090878,0.06989721267322169,5.562666666666667,0.025170437405731525,0.2529411764705882,0.0003088449913741314,55.90000000000002,0.012585218702865763,0.1264705882352941,0.0001544224956870657,0.06825474309368304,5.562666666666667,0.025170437405731525,0.2529411764705882,0.0003088449913741314,55.90000000000002,0.012585218702865763,0.1264705882352941,0.0001544224956870657,0.06825474309368304,1500
0.43,0.30466666666666664,7.016666666666662,0.15233333333333332,3.508333333333331,0.0069766226540678685,0.0006892911010558069,0.01587481146304675,3.156842829894963e-05,0.013953245308135737,13.712,135.46666666666653,0.03102262443438914,0.3064856711915531,0.0003298634958433597,0.145799665162765,13.407333333333334,128.44999999999982,0.030333333333333334,0.2906108597285064,0.0003184105659576969,0.14073747015330204,13.407333333333334,128.44999999999982,0.030333333333333334,0.2906108597285064,0.0003184105659576969,0.14073747015330204,0.14933333333333335,0.0006757164404223228,0.014781297134238298,4.165479458961829e-05,3.2666666666666635,0.14933333333333335,3.2666666666666635,0.009205709604305641,0.0003378582202111614,0.007390648567119149,2.0827397294809145e-05,0.009205709604305641,6.84,0.03095022624434389,0.3150829562594267,0.00036338687839432244,69.63333333333327,0.015475113122171945,0.15754147812971336,0.00018169343919716122,0.08030850012514526,6.690666666666667,0.03027450980392157,0.30030165912518825,0.00035222573026571146,66.36666666666662,0.015137254901960785,0.15015082956259412,0.00017611286513285573,0.07784188638872223,6.690666666666667,0.03027450980392157,0.30030165912518825,0.00035222573026571146,66.36666666666662,0.015137254901960785,0.15015082956259412,0.00017611286513285573,0.07784188638872223,0.15533333333333332,0.0007028657616892911,0.01696832579185519,4.233327997041634e-05,3.749999999999997,0.15533333333333332,3.749999999999997,0.00935565487346201,0.00035143288084464553,0.008484162895927594,2.116663998520817e-05,0.00935565487346201,6.872,0.03109502262443439,0.29788838612367996,0.0003573200133370627,65.83333333333326,0.015547511312217195,0.14894419306183998,0.00017866000666853134,0.07896772294749085,6.716666666666667,0.030392156862745098,0.2809200603318247,0.00034733296305343843,62.08333333333326,0.015196078431372549,0.14046003016591235,0.00017366648152671921,0.0767605848348099,6.716666666666667,0.030392156862745098,0.2809200603318247,0.00034733296305343843,62.08333333333326,0.015196078431372549,0.14046003016591235,0.00017366648152671921,0.0767605848348099,1500
